fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融市场情绪洞察	lc	110002	data/figure/lc/2024-06-24--光大期货-宏观周报：投资行业需求延续偏弱表现_page17_图表SCFI综合指数单位点.jpg					哪一年的SCFI综合指数波动最大？	2021年	2022年	2023年		B
金融市场情绪洞察	lc	110007	data/figure/lc/2024-03-29--中银证券-1月美国国际资本流动报告点评：美联储宽松预期回撤，来美证券投资未能“开门红”_page5_no_caption.jpg					哪一年的波动幅度最大？	2022	2023	2024		A
金融市场情绪洞察	lc	110048	data/figure/lc/2024-07-08--国泰期货-海外宏观及大类资产周度报告_page19_中国进出口同比.jpg					哪个时间段的中国贸易进口总额同比波动最为剧烈？	2019/5 - 2019/8	2020/11 - 2021/5	2023/5 - 2024/5		B
金融市场情绪洞察	lc	110084	data/figure/lc/2023-10-25--华泰期货-财政增发1万亿国债点评：资产端扩张的信号开启_page4_图5央行资产负债表结构丨单位YOY.jpg					哪个时间段的国外资产波动最为剧烈？	2020-2021	2021-2022	2022-2023		C
金融市场情绪洞察	lc	110086	data/figure/lc/2024-02-18--国联证券-宏观专题研究：春节期间国内外宏观数据有积极信号_page5_图表5一线城市地铁客运量.jpg					哪个年份的波动幅度最大？	2020	2021	2022		A
金融市场情绪洞察	lc	110112	data/figure/lc/2023-09-11--中国银河-金融高频数据周报：银行间资金紧张，非美货币承压_page6_图22美元指数上升人民币汇率跌破73.jpg					2022年至2023年美元兑人民币汇率整体趋势如何？	上升	下降	波动不大		A
金融市场情绪洞察	lc	110121	data/figure/lc/2024-07-05--中国银河-宏观动态报告：汇率来到关键位置_page2_图61年期NDF隐含的汇率预期.jpg					1年期NDF隐含的汇率预期在哪个时间段达到最低点？	23-Aug	23-Oct	24-Jun		C
金融市场情绪洞察	lc	110138	data/figure/lc/2024-08-02--浦银国际证券-月度美国宏观洞察：迎接降息和美国大选_page6_no_caption.jpg					在选举日前60天到选举日当天，哪个候选人的当选预期对市场影响更大？	特朗普	拜登	两者相同		A
金融市场情绪洞察	lc	110141	data/figure/lc/2023-11-26--民生证券-高频数据跟踪周报：工业生产稳步修复_page8_图20本周沥青价格续降元吨.jpg					哪一年的曲线波动最大？	2019	2020	2021		B
金融市场情绪洞察	hg	110210	data/figure/hg/2023-07-21--上海证券-海外市场跟踪：通胀前景改善，加息节奏放缓_page2_图1全球主要股市一周涨跌幅.jpg					法国CAC40的涨幅是否高于德国DAX？	是	否	不确定		A
金融市场情绪洞察	hg	110305	data/figure/hg/2024-02-05--国金证券-大类资产月报第9期：2月展望，行至水穷处？_page23_图表84摇摆州选民在移民等问题上更信任特朗普.jpg					在哪个问题上，选民对特朗普的信任度最低？	气候变化	枪支问题	住房		A
金融市场情绪洞察	hg	110311	data/figure/hg/2024-07-01--国金证券-海外周度观察：日央行缩表，“箭在弦上”_page10_图表26特朗普摇摆州民调领先拜登.jpg					在2024年6月28日的民调中，哪个州的拜登支持率最低？	宾夕法尼亚	北卡	佐治亚		B
金融市场情绪洞察	hg	110320	data/figure/hg/2024-08-07--麦高证券-宏观经济高频数据周报：海外经济不及预期_page16_no_caption.jpg					哪一种商品的价格波动最大？	COMEX黄金	Lme铜	lme铝		A
金融市场情绪洞察	hg	110374	data/figure/hg/2024-07-23--华福证券-产业经济医疗周报：全球人口趋势洞察与老龄化挑战_page4_图表6医药板块三级行业本周涨跌幅情况.jpg					哪一行业在本周涨幅最大？	疫苗	血液制品	原料药		A
金融市场情绪洞察	hg	110397	data/figure/hg/2024-02-27--国信证券-宏观经济专题研究：国信宏观扩散指数对于短频股债交易的指引_page5_图7国信高频宏观扩散指数拟合资产价格的方向胜率一览截至2024年2月9日.jpg					哪项指标的变动方向一致的概率最高？	十年国债收益率	上证综指	南华工业品指数		A
金融市场情绪洞察	hg	110407	data/figure/hg/2022-11-28--艾瑞股份-中国当代新型恋爱关系白皮书_page13_婚姻恋爱的关系.jpg					认为“恋爱是轻松快乐的，婚姻是严肃的”的比例最低的是哪个群体？	总体	传统人群	新型恋爱体验人群		B
金融市场情绪洞察	hg	110416	data/figure/hg/2024-06-28--民生证券-宏观事件点评：美国大选首辩：中局还是终局？_page2_图22020大选的总统辩论谁表现更好.jpg					在2020年10月22日的第二场辩论中，谁的表现更受民众认可？	特朗普	拜登	不知道		B
金融市场情绪洞察	hg	110443	data/figure/hg/2022-11-28--艾瑞股份-中国当代新型恋爱关系白皮书_page37_对社交活动的理解.jpg					哪种社交活动的目的占比最低？	目的性太强	不同社交活动目的近似	我排斥新型社交		A
金融市场情绪洞察	hg	110464	data/figure/hg/2022-11-28--艾瑞股份-中国当代新型恋爱关系白皮书_page36_no_caption.jpg					在社交活动选择考虑因素中，男性和女性最关注的因素分别是哪个？	金钱支出和是否提供其他价值	活动的形式和活动的时间、周期	活动的场所、位置和活动是否有保障		A
金融市场情绪洞察	hg	110480	data/figure/hg/2024-06-12--平安证券-2024年5月物价数据点评：供需失衡制约物价回升_page3_图表9电气机械价格对有色金属价格变动敏感性较高.jpg					在有色金属价格上涨10%的情况下，哪个行业受到的推动最大？	电气机械	金属制品	通用设备		A
金融市场情绪洞察	frg	110531	data/figure/frg/2023-09-14--美容护理-润本股份-“庖丁解牛”拆析招股书（十九）润本股份：驱蚊赛道国货龙头，婴童护理业务未来可期_page28_图表公司营销相关事件.jpg					2019年润本股份在小红书上的营销活动主要目的是什么？	吸引平台用户	分享育儿知识	发布优惠信息		A
金融市场情绪洞察	pg	110713	data/figure/pg/2023-05-26--半导体-北方华创-半导体设备平台型公司，受益国产替代加速_page20_图412022年华虹无锡PVD中标情况.jpg					在2023年5月26日的半导体设备市场中，哪个公司的市场份额最大？	SPTS	北方华创	AMAT		C
