fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融情景分析	pg	110706	data/figure/pg/2022-12-19--通信设备-锐捷网络-企业网设备新贵，中小客户解决方案能力强_page10_图92021年网络设备网络安全云桌面解决方案等产品占收比.jpg					如果网络设备与网络安全业务合并，其总占比将达到多少？	86%	70%	92%		A
金融情景分析	pg	110707	data/figure/pg/2023-06-20--电力行业-金开新能-风光资产布局合理，装机容量加速成长_page5_图42022年公司光伏发电毛利102亿元占比54.jpg					如果公司计划将光伏发电的毛利率提高到12亿元，风力发电的毛利率保持不变，那么光伏发电的毛利率占比将变为多少？	50%	60%	70%		B
金融情景分析	pg	110722	data/figure/pg/2023-12-26--电子化学品-广钢气体-国内电子大宗气体龙头，发力布局电子特气业务_page40_图522022年通用工业现场制气各产品收入占比.jpg					如果固定收费的收入占比增加5%，其新的收入占比将是多少？	37.20%	36.70%	37.70%		A
金融情景分析	pg	110724	data/figure/pg/2023-12-27--化纤行业-新凤鸣-凤鸣长新，龙头精进_page12_图302022年我国PTA消费结构.jpg					如果涤纶长丝与涤纶短纤的消费量合并，它们的总占比将达到多少？	61.27%	58.43%	60.27%		A
金融情景分析	pg	110733	data/figure/pg/2024-01-21--塑料制品-祥源新材-首次覆盖：交联世界的产品，材料发泡的专家_page13_no_caption.jpg					如果美国的市场份额减少5个百分点，其新份额是多少？	38%	40%	36%		A
金融情景分析	pg	110734	data/figure/pg/2022-11-23--电池-鹏辉能源-公司首次覆盖报告：户储电池全球前二，大储电池放量在即_page20_图292020年正浩科技市占率全球第二.jpg					如果华宝新能与正浩科技合并，它们的市场份额将达到多少？	22.90%	23.50%	24.10%		A
金融情景分析	pg	110737	data/figure/pg/2023-07-04--航天航空-北摩高科-航空刹车制动业务向下游持续拓展，民航业务构建第二增长曲线_page18_图表30国外飞机机轮刹车系统供应商及份额.jpg					如果Goodrich的市场份额增加5个百分点，其新份额是多少？	30%	27%	32%		A
金融情景分析	pg	110757	data/figure/pg/2023-12-05--旅游酒店-天目湖-疾风劲雨过，云开月明_page10_no_caption.jpg					如果浙江的市场份额增长20%，其占有率将变为多少？	35%	40%	45%		A
金融情景分析	pg	110769	data/figure/pg/2023-12-26--化纤行业-皖维高新-PVA龙头，新材料打开成长空间_page15_图表322022全球VAE消费结构.jpg					如果建筑业务的收入为54亿元，则公司总收入为多少？	100亿元	120亿元	130亿元		A
金融情景分析	pg	110770	data/figure/pg/2023-05-18--半导体-圣邦股份-品类持续深挖，高端加速推进，模拟龙头稳健发展_page16_图292021年通用信号链IC细分领域占比情况.jpg					如果将市场份额低于5%的企业合并为一个类别，其市场份额总和为多少？	4.00%	8.00%	12.00%		A
金融情景分析	pg	110773	data/figure/pg/2023-12-12--家用轻工-致欧科技-海外线上家居龙头，从产品到供应链全面树立壁垒_page25_图512022年美国电商中亚马逊的份额绝对领先.jpg					如果亚马逊的市场份额为37.8%，则其在美国电商市场的份额大约是多少？	40%	35%	38%		C
金融情景分析	pg	110778	data/figure/pg/2023-06-21--通用设备-杭齿前进-公司首次覆盖报告：国企改革显现成效，行业周期向上杭齿再“前进”_page15_图29全球齿轮箱CR3占到6816行业集中度较高.jpg					如果南高齿的市场份额减少5%，其他业务的占比保持不变，此时采埃孚和威能极的市场份额总和大约为多少？	43.72%	44.44%	45.16%		B
金融情景分析	pg	110779	data/figure/pg/2023-07-29--采掘行业-海油发展-海上油服领军企业，业务多元谋发展_page10_图142022年公司各业务板块收入构成.jpg					如果将低碳环保与数字化业务的收入减少5个百分点，其新收入占比是多少？	13%	18%	23%		A
金融情景分析	pg	110784	data/figure/pg/2023-03-06--旅游酒店-宋城演艺-复苏在望，更轻更强，演艺龙头开启全新成长_page2_图82021年旅游演艺行业市场份额宋城仍排名第一.jpg					如果千古情系列与印象系列合并，其市场份额将达到多少？	45%	32%	13%		A
金融情景分析	pg	110787	data/figure/pg/2024-03-01--汽车零部件-星宇股份-自主车灯龙头的复盘与展望_page40_图462021年全球车灯竞争格局.jpg					如果“其他”业务的市场份额为34%，则其对应的收入为多少？	无法确定	3亿元	10亿元		A
金融情景分析	pg	110790	data/figure/pg/2022-10-10--医疗器械-乐普医疗-国产心血管平台型企业，创新产品布局加速_page10_图表162018年国内先心封堵器竞争格局.jpg					如果乐普医疗的市场份额增长20%，其占有率将变为多少？	55%	49%	60%		A
金融情景分析	pg	110796	data/figure/pg/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page19_图表40佐餐卤制品的主要企业市场份额总额仅有4.jpg					如果紫燕百味鸡的市场份额增长20%，其占有率将变为多少？	3.14%	3.15%	3.16%		A
金融情景分析	pg	110806	data/figure/pg/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page37_图表972021年开采锂产量市场份额.jpg					如果ALB和Pilbara合并，它们的市场份额将达到多少？	33%	28%	35%		A
金融情景分析	pg	110807	data/figure/pg/2022-11-11--纺织服装-华利集团-高效率+重研发+强运营构筑深厚壁垒，携手优质客户共同成长_page16_图21各区域运动鞋履市场规模占比2021年.jpg					如果非洲的运动鞋履市场规模占比增加2个百分点，其新份额是多少？	4.60%	3.60%	5.60%		A
金融情景分析	pg	110811	data/figure/pg/2024-04-15--家用轻工-致欧科技-高效供应链造就性价比，“线上宜家”出海正当时_page13_图23线上线下消费者价比调查.jpg					如果每次购买特定商品时都会比价的消费者占比为20.2%，那么从不比价的消费者占比是多少？	4.30%	15.20%	27.40%		A
金融情景分析	pg	110812	data/figure/pg/2022-12-19--农牧饲渔-隆平高科-深度报告：乘转基因政策春风，种业龙头蓄势待发_page11_图242020年中国水稻市场竞争格局.jpg					如果隆平高科的市场份额增加到15%，其他企业的市场份额保持不变，此时整个市场的总份额将变为多少？	100%	103%	97%		A
金融情景分析	pg	110813	data/figure/pg/2022-11-17--环保行业-元琛科技-高温过滤材料优势企业，积极布局PET铜箔_page4_评级分布RatingDistribution.jpg					如果最新季度的评级分布保持不变，那么下个季度'优于大市'的评级占比是多少？	89.40%	89.50%	90%		A
金融情景分析	pg	110814	data/figure/pg/2022-12-16--食品饮料-紫燕食品-公司深度报告：佐餐卤味领头羊，开启全国化扩张_page18_图表36我国卤制食品CR3仅为4.jpg					如果CR3的市场份额增加到5%，那么其他企业的市场份额总和将减少多少百分比？	0%	1%	2%		B
金融情景分析	pg	110815	data/figure/pg/2024-04-12--互联网服务-润泽科技-深度报告：园区级IDC领军企业，数据经济时代显著受益_page11_图222019年IDC市场份额.jpg					如果中国电信的市场份额减少5个百分点，其新份额是多少？	25.60%	30.60%	35.60%		A
金融情景分析	pg	110816	data/figure/pg/2023-04-19--物流行业-怡亚通-自有生态建竞争壁垒，降本增效助盈利回升_page4_图42022年怡亚通毛利构成.jpg					如果怡亚通的分销+营销业务毛利占比减少5个百分点，其新毛利占比是多少？	77.90%	82.90%	87.90%		A
金融情景分析	pg	110818	data/figure/pg/2022-11-02--煤炭行业-中煤能源-中煤能源：低估的央企煤炭巨头_page7_图42021年中煤能源营收结构.jpg					如果将其他业务和金融业务合并为一个类别，其市场份额总和为多少？	5%	6%	7%		A
金融情景分析	pg	110820	data/figure/pg/2023-10-15--医疗器械-海泰新光-“原研”为核心驱动力，国产整机厂商蓄势待发_page9_图表18全球内窥镜市场领域占比.jpg					如果软镜的市场份额增长20%，其占有率将变为多少？	33.10%	47.60%	52.20%		A
金融情景分析	pg	110834	data/figure/pg/2024-02-14--医疗服务-成都先导-深度报告：新分子发现平台优势明显，业务拓展成效显著_page23_图5120182022使用AI技术的管线产品应用场景.jpg					如果药物设计的收入为5.5亿元，那么公司总收入为多少？	10亿元	12亿元	14亿元		A
金融情景分析	pg	110837	data/figure/pg/2023-06-01--纺织服装-太湖雪-丝绸制品企业研究_page3_图表12022年公司收入构成.jpg					如果丝绸服饰及其他业务与其它业务合并，其总占比将达到多少？	4.17%	3.33%	5.17%		A
金融情景分析	pg	110846	data/figure/pg/2024-02-02--非金属材料-索通发展-国内预焙阳极龙头，出海布局蓄势成长_page20_no_caption.jpg					如果原材料成本为50亿元，那么总成本为多少？	55.73亿元	56.82亿元	55.82亿元		C
金融情景分析	pg	110847	data/figure/pg/2023-03-29--化学制品-光威复材-2022年年报点评：多层次产品巩固成长性，23Q1订单波动影响短期业绩_page2_图8光威复材非定型碳纤维产品收入结构单位.jpg					如果将市场份额低于5%的企业合并为一个类别，其市场份额总和为多少？	3.08%	4.92%	6.76%		A
金融情景分析	pg	110848	data/figure/pg/2022-12-31--汽车零部件-科博达-深度报告之二：打造域控制器平台型企业_page19_图202020年全球汽车MCU市场竞争格局.jpg					如果瑞萨电子的市场份额增长20%，其占有率将变为多少？	36%	40%	50%		A
金融情景分析	pg	110849	data/figure/pg/2023-01-26--消费电子-拓邦股份-新能源业务快速发展，盈利改善拐点已现_page24_图562020年全球便携式储能主要生产国家和区域.jpg					如果中国和美国的便携式储能生产国家合并，其市场份额将达到多少？	95%	94%	93%		A
金融情景分析	pg	110851	data/figure/pg/2023-09-12--有色金属-云海金属-2023年中报点评：镁价企稳，Q2业绩环比改善_page2_图22022H1分产品营收占比.jpg					如果将市场份额低于5%的企业合并为一个类别，其市场份额总和为多少？	5.50%	6.50%	7.50%		A
金融情景分析	pg	110863	data/figure/pg/2022-12-26--家电行业-海信家电-深度报告：央空与三电双剑合璧，热管理集成强者争霸_page24_图552020年大众奔驰是三电的主要客户.jpg					如果大众的市场份额增长20%，其占有率将变为多少？	16.20%	15.40%	17.40%		A
金融情景分析	pg	110866	data/figure/pg/2023-12-14--通用设备-创世纪-首次覆盖报告：3C钻攻机龙头，受益于需求复苏及通用业务拓展_page10_图152021年中国数控机床市场竞争格局按产量.jpg					如果创世纪的市场份额为9.37%，秦川机床的市场份额为4.89%，那么两者之间的市场份额差距是多少百分点？	4.48%	5.48%	6.48%		A
金融情景分析	pg	110887	data/figure/pg/2024-02-27--电力行业-中国广核-全国核电龙头，业绩持续增长的现金“牛”_page11_图16我国核电链温室气体排放构成.jpg					如果将核电站和废物处置的温室气体排放合并为一个类别，其占比总和为多少？	22%	24%	26%		B
金融情景分析	pg	110891	data/figure/pg/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page26_图表612021年各锂矿运营商开采的锂产量市场份额.jpg					如果Talison的锂产量市场份额为38%，那么其他所有公司的总市场份额是多少？	62%	50%	42%		A
金融情景分析	pg	110893	data/figure/pg/2023-05-17--航天航空-航天环宇-新股覆盖研究：航天环宇_page6_图72020年航空航天各领域碳纤维需求情况单位吨.jpg					如果商用飞机的碳纤维需求量增加20%，其占比将变为多少？	65%	58%	60%		A
