fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
产业分析推断	sdt	210315	data/figure/sdt/2022-12-23--酿酒行业-金种子酒-深度报告：华润赋能，金种子如何突出重围？_page29_表9收入成本拆分及盈利预测.jpg				5	根据上一轮问题的答案，2021年的中高档酒营收为238.04百万元。假设2022年营收增长了33.59%，那么2022年的营收预计会是多少?	318.04	315.04	312.04		A
产业分析推断	sdt	210315	data/figure/sdt/2022-12-23--酿酒行业-金种子酒-深度报告：华润赋能，金种子如何突出重围？_page29_表9收入成本拆分及盈利预测.jpg				6	根据上一轮问题的答案，2022年的中高档酒营收为318.04百万元。假设2023年营收增长了71.36%，那么2023年的营收预计会是多少?	540.04	520.04	500.04		A
产业分析推断	sdt	210316	data/figure/sdt/2022-12-23--酿酒行业-金种子酒-深度报告：华润赋能，金种子如何突出重围？_page14_表620162020年中国白酒产量及占比前10.jpg				1	2016年四川白酒产量占全国的比例是多少？	29.64%	8.96%	4.84%		A
产业分析推断	sdt	210316	data/figure/sdt/2022-12-23--酿酒行业-金种子酒-深度报告：华润赋能，金种子如何突出重围？_page14_表620162020年中国白酒产量及占比前10.jpg				2	2016年安徽白酒产量占全国的比例是多少？	3.30%	8.96%	4.84%		A
产业分析推断	sdt	210316	data/figure/sdt/2022-12-23--酿酒行业-金种子酒-深度报告：华润赋能，金种子如何突出重围？_page14_表620162020年中国白酒产量及占比前10.jpg				3	2020年四川白酒产量占全国的比例是多少？	49.63%	8.96%	4.84%		A
产业分析推断	sdt	210319	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page41_图表10920192021年公司前五大客户交易金额和占比情况.jpg				1	2019年公司前五大客户交易金额和占比情况，以下为选项	ALb占27.4%	alb占32.4%	alb占17.8%		A
产业分析推断	sdt	210319	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page41_图表10920192021年公司前五大客户交易金额和占比情况.jpg				2	2020年公司前五大客户交易金额和占比情况，以下为选项	alal占32.4%	skl占5.8%	alal占17.8%		A
产业分析推断	sdt	210319	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page41_图表10920192021年公司前五大客户交易金额和占比情况.jpg				3	2021年公司前五大客户交易金额和占比情况，以下为选项	alal占17.8%	skl占5.8%	alal占16.1%		A
产业分析推断	sdt	210319	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page41_图表10920192021年公司前五大客户交易金额和占比情况.jpg				4	2019年到2021年公司前五大客户交易金额变化趋势，以下为选项	alal占比逐年下降	alal占比逐年上升	alal占比先升后降		C
产业分析推断	sdt	210322	data/figure/sdt/2022-12-23--电子化学品-鼎龙股份-公司首次覆盖报告：国内CMP材料龙头，平台化发展，前景可期_page8_表2公司积极推进各项业务的研发各项目目前进展较为顺利.jpg				4	在打印复印通用耗材领域，乳化凝集法聚合显影材料技术工艺项目的主要目标是什么？	提高产品性能，工艺优化	新增墨水配方一套	规避原厂专利侵权风险		A
