fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
投资分析	sdt	210316	data/figure/sdt/2022-12-23--酿酒行业-金种子酒-深度报告：华润赋能，金种子如何突出重围？_page14_表620162020年中国白酒产量及占比前10.jpg				4	2020年安徽白酒产量占全国的比例是多少？	3.81%	8.96%	4.84%		A
投资分析	sdt	210317	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page43_图表112可比公司估值情况.jpg				1	在2024年，哪一家公司的PE倍数最低？	天齐锂业	赣锋锂业	中矿资源		C
投资分析	sdt	210317	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page43_图表112可比公司估值情况.jpg				2	根据表格数据，哪一家公司在2023年的EPS增长最快？	天齐锂业	赣锋锂业	中矿资源		A
投资分析	sdt	210317	data/figure/sdt/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page43_图表112可比公司估值情况.jpg				3	如果考虑到2023年的EPS增长情况，哪一家公司最有可能在未来几年内实现较高的股价上涨？	天齐锂业	赣锋锂业	中矿资源		A
投资分析	sdt	210322	data/figure/sdt/2022-12-23--电子化学品-鼎龙股份-公司首次覆盖报告：国内CMP材料龙头，平台化发展，前景可期_page8_表2公司积极推进各项业务的研发各项目目前进展较为顺利.jpg				5	如果乳化凝集法聚合显影材料技术工艺项目成功实现目标，对公司的主要影响是什么？	提高产品性能，工艺优化	新增墨水配方一套	规避原厂专利侵权风险		A
投资分析	sdt	210323	data/figure/sdt/2022-12-23--半导体-杰华特-虚拟IDM赋能，模拟芯片平台多点开花_page19_表10行业公司比较截至2022年12月20日.jpg				2	根据毛利率和PE（TTM）的对比，哪一家公司的估值相对合理？	圣邦股份	思瑞浦	艾为电子		B
投资分析	sdt	210323	data/figure/sdt/2022-12-23--半导体-杰华特-虚拟IDM赋能，模拟芯片平台多点开花_page19_表10行业公司比较截至2022年12月20日.jpg				4	从芯片型号数量来看，哪一家公司的产品线最丰富？	杰华特	艾为电子	纳芯微		A
投资分析	sdt	210324	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page4_图表中国化学业绩预测.jpg				2	根据表格数据，2021年化学工程的毛利率为9.45%，如果这个趋势保持不变，预计到2023年化学工程的毛利率会是多少？	8.35%	9.45%	无法确定		A
投资分析	sdt	210324	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page4_图表中国化学业绩预测.jpg				4	根据以上信息，化学工程在2023年的毛利润增长率大约是多少？	27.0%	26.0%	无法确定		A
投资分析	sdt	210326	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page21_图表在建规划多晶硅项目产能万吨投资额亿元.jpg				2	在表格中，哪个公司的项目总投资额最低？	协鑫科技四川乐山颗粒硅项目	江苏润阳年产10万吨的高纯多晶硅项目和年产5GW的高效电池项目	通威股份包头二期高纯晶硅项目		C
投资分析	sdt	210326	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page21_图表在建规划多晶硅项目产能万吨投资额亿元.jpg				3	假设你是一家新能源材料供应商，你会优先考虑与哪家公司合作？为什么？	通威股份	协鑫科技	新特能源		A
投资分析	sdt	210326	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page21_图表在建规划多晶硅项目产能万吨投资额亿元.jpg				4	为什么通威股份的多个项目总投资额相对较高？	因为它们的多晶硅产能较大	因为它们的技术水平更高	因为它们的市场竞争力更强		A
投资分析	sdt	210327	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page16_图表中国化学新签订单情况.jpg				1	2022年1-9月的5亿以上重大合同中新能源新材料新签合同金额是多少？	504.16亿元	1082.13亿元	2355.11亿元		A
投资分析	sdt	210327	data/figure/sdt/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page16_图表中国化学新签订单情况.jpg				2	2022年1-9月的5亿以上重大合同中新能源新材料占比与新签合同总额占比相比，哪个更高？	5亿以上重大合同中新能源新材料占比	新签合同总额占比	无法确定		A
投资分析	sdt	210329	data/figure/sdt/2022-12-21--农药兽药-贝斯美-首次覆盖：全国二甲戊灵龙头，C5新材料项目打开成长空间_page9_表2贝斯美分业务盈利预测.jpg				5	根据上一轮问题的答案，如果公司决定增加高毛利产品的收入，这将如何影响公司的财务表现？	短期内可能增加利润，但长期来看可能会导致市场饱和	短期内可能增加利润，长期来看可能会提高市场份额	短期内可能增加利润，长期来看可能会提高市场份额		C
投资分析	sdt	210330	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg				1	根据2019年至2024年的营业总收入趋势，哪一年的YoY增长率最高？	2019年	2020年	2021年		C
投资分析	sdt	210330	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg				2	如果要预测2025年的营业总收入，你认为哪个业务板块的增长潜力最大？	配件	减速器	智能执行单元		B
投资分析	sdt	210330	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page22_表10主营收入拆分百万元.jpg				3	从图表中可以看出，智能执行单元在2022年的毛利率为27.60%，请问这与哪些因素有关？	成本控制良好	市场需求旺盛	技术进步		A
投资分析	sdt	210331	data/figure/sdt/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page15_表5中观情境下谐波减速器产能缺口有望达千万台级.jpg				5	根据以上信息，如果2027年谐波减速器供给缺口为2322.3万台，这是否意味着市场对谐波减速器的需求非常旺盛？	是	否	不确定		A
投资分析	sdt	210332	data/figure/sdt/2022-12-20--软件开发-金橙子-国内振镜控制系统龙头，高端振镜打开第二增长极_page16_图表35公司营业收入拆分预测.jpg				1	2024年预测的毛利率是多少？	61.9%	61.16%	61.1%		A
投资分析	sdt	210332	data/figure/sdt/2022-12-20--软件开发-金橙子-国内振镜控制系统龙头，高端振镜打开第二增长极_page16_图表35公司营业收入拆分预测.jpg				2	激光加工控制系统在2024年的毛利率预测是多少？	73.00%	73.00%	73.00%		A
投资分析	sdt	210332	data/figure/sdt/2022-12-20--软件开发-金橙子-国内振镜控制系统龙头，高端振镜打开第二增长极_page16_图表35公司营业收入拆分预测.jpg				3	激光系统集成硬件在2024年的毛利率预测是多少？	26.63%	26.49%	26.63%		C
投资分析	sdt	210332	data/figure/sdt/2022-12-20--软件开发-金橙子-国内振镜控制系统龙头，高端振镜打开第二增长极_page16_图表35公司营业收入拆分预测.jpg				4	激光精密加工设备在2024年的毛利率预测是多少？	36.00%	36.00%	36.00%		A
投资分析	sdt	210341	data/figure/sdt/2022-12-19--美容护理-水羊股份-御电商经营之道，自有+代理双业务驱动长期发展_page18_表82021十大品牌面膜榜.jpg				1	在表格中，哪个品牌的星品是“安瓶玻尿酸补水精华面膜”？	自然堂	欧莱雅	美迪惠尔		B
投资分析	sdt	210341	data/figure/sdt/2022-12-19--美容护理-水羊股份-御电商经营之道，自有+代理双业务驱动长期发展_page18_表82021十大品牌面膜榜.jpg				2	根据表格数据，哪个品牌的星品是“鲜嫩水光面膜”？	一叶子	膜法世家	蒂佳婷		A
投资分析	sdt	210341	data/figure/sdt/2022-12-19--美容护理-水羊股份-御电商经营之道，自有+代理双业务驱动长期发展_page18_表82021十大品牌面膜榜.jpg				3	在表格中，哪个品牌的星品是“抗糖小白瓶面霜”？	OLAY	兰芝	百雀羚		A
投资分析	sdt	210341	data/figure/sdt/2022-12-19--美容护理-水羊股份-御电商经营之道，自有+代理双业务驱动长期发展_page18_表82021十大品牌面膜榜.jpg				4	根据表格数据，哪个品牌的星品是“益生睡眠面膜”？	兰芝	百雀羚	美迪惠尔		A
投资分析	sdt	210341	data/figure/sdt/2022-12-19--美容护理-水羊股份-御电商经营之道，自有+代理双业务驱动长期发展_page18_表82021十大品牌面膜榜.jpg				5	在表格中，哪个品牌的星品是“水库安瓶面膜”？	美迪惠尔	兰芝	自然堂		A
投资分析	sdt	210342	data/figure/sdt/2022-12-19--农牧饲渔-隆平高科-深度报告：乘转基因政策春风，种业龙头蓄势待发_page8_表320162020年玉米前十大品种推广面积变动情况万亩.jpg				1	在2020年，哪种玉米品种的推广面积最大？	郑单958	京科968	登海605		A
投资分析	sdt	210342	data/figure/sdt/2022-12-19--农牧饲渔-隆平高科-深度报告：乘转基因政策春风，种业龙头蓄势待发_page8_表320162020年玉米前十大品种推广面积变动情况万亩.jpg				2	根据图表数据，哪一年的玉米品种推广面积变化最小？	2020年	2019年	2018年		A
投资分析	sdt	210342	data/figure/sdt/2022-12-19--农牧饲渔-隆平高科-深度报告：乘转基因政策春风，种业龙头蓄势待发_page8_表320162020年玉米前十大品种推广面积变动情况万亩.jpg				3	从2018年到2020年，哪种玉米品种的推广面积增长最快？	郑单958	先玉335	登海605		A
