fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
股票k线解读	cc	111060	data/figure/cc/five_k_688798[艾为电子].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	76.44	75.88	77.08		A
股票k线解读	cc	111061	data/figure/cc/five_k_688788[科思科技].png					从 K 线图中可以看出，该股票在 12.6 日 09:35 后出现了明显的下跌趋势，这可能是由于哪种技术指标的变化引起的？	MACD 死叉	RSI 超买	布林带收窄		A
股票k线解读	cc	111062	data/figure/cc/five_k_688766[普冉股份].png					从 K 线图上看，该股票在 12 月 6 日出现了什么形态？	锤头线	十字星	吞没形态		A
股票k线解读	cc	111063	data/figure/cc/five_k_688737[中自科技].png					根据 K 线图，该股票在 12 月 9 日的最高价是多少？	25.10 元	24.50 元	23.50 元		A
股票k线解读	cc	111064	data/figure/cc/five_k_688722[同益中]1.png					从 K 线图中可以看出，该股票在 12 月 6 日出现了哪种形态？	早晨之星	黄昏之星	十字星		C
股票k线解读	cc	111065	data/figure/cc/five_k_688709[成都华微].png					根据 K 线图，该股票在 12 月 5 日至 12 月 9 日期间的最高价是多少？	35.66	34.5	32		A
股票k线解读	cc	111066	data/figure/cc/five_k_688700[东威科技].png					根据 K 线图，该股票在 12 月 5 日至 12 月 9 日期间的最高价是多少？	31.28 元	30.50 元	29.62 元		A
股票k线解读	cc	111067	data/figure/cc/five_k_6887 [中控技术].png					从 K 线图中可以看出，该股票在 2024 年 12 月 6 日出现了什么形态？	早晨之星	黄昏之星	十字星		C
股票k线解读	cc	111068	data/figure/cc/five_k_6887 8[厦钨新能].png					在 12 月 6 日 09:35 的低点 49.30 元之后，股票价格出现了哪种形态？	头肩底	双底	V 形反转		C
股票k线解读	cc	111069	data/figure/cc/five_k_6887 6[国光电气.png					从 K 线图中可以看出，该股票在 12 月 6 日上午 9:35 的最低价是多少？	58.1	58.12	58.15		B
股票k线解读	cc	111070	data/figure/cc/five_k_688699[明微电子].png					根据 K 线图，该股票在 12 月 6 日 09:35 达到的最低点是多少？	36.75	37	38		A
股票k线解读	cc	111071	data/figure/cc/five_k_688696[极米科技].png					根据 K 线图，该股票在 12 月 5 日至 12 月 9 日期间的最高价是多少？	96.84	93	92.22		A
股票k线解读	cc	111072	data/figure/cc/five_k_688692[达梦数据].png					根据 K 线图，该股票在 2024 年 12 月 9 日的收盘价为多少？	386.8	385.8	387.8		A
股票k线解读	cc	111073	data/figure/cc/five_k_688689[银河'电].png					根据 K 线图，该股票在 12 月 6 日 09:35 的最低点是多少？	23.82	24.1	25.1		A
股票k线解读	cc	111074	data/figure/cc/five_k_688687[凯因科技].png					从 K 线图上看，该股票在 12 月 9 日 13:05 的价格趋势是？	上涨	下跌	横盘整理		B
股票k线解读	cc	111075	data/figure/cc/five_k_688683[莱尔科技].png					从 K 线图中可以看出，12 月 6 日 09:35 的最低价是多少？	20.56	21.02	21.05		A
股票k线解读	cc	111076	data/figure/cc/five_k_688681[科汇股份].png					根据 K 线图，该股票在 12 月 5 日至 12 月 9 日期间的最高价是多少？	12.62	12.47	12.43		A
股票k线解读	cc	111077	data/figure/cc/five_k_688679[通源环境].png					根据 K 线图，该股票在 12 月 5 日至 12 月 9 日期间的最高价是多少？	12.4	11.8	11.4		A
股票k线解读	cc	111078	data/figure/cc/five_k_688668[鼎通科技].png					根据 K 线图，该股票在 12 月 5 日至 12 月 9 日期间的最高价是多少？	37.73	36.56	36.36		A
股票k线解读	cc	111079	data/figure/cc/five_k_688667[菱电电控].png					根据 K 线图，该股票在 2024 年 12 月 5 日至 12 月 9 日期间的最高价是多少？	43.5	42.75	41.68		A
