fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
资产配置分析	frg	320001	data/figure/frg/2022-12-21--半导体-杰华特-杰华特深度报告：大陆稀缺虚拟IDM玩家，率先布局服务器DCDC_page4_图表4公司股权结构.png					图中哪个股东的持股比例最高？	香港杰华特	同赢投资	哈勃投资	无法判断	A
资产配置分析	frg	320002	data/figure/frg/2023-01-29--专用设备-格力博-新股系列专题报告：格力博新股梳理_page5_格力博公司股权架构发行后.png					格力博的最大直接股东是以下哪一个？	陈寅	Greenworks Holdings	GHHK	无法判断	C
资产配置分析	frg	320003	data/figure/frg/2022-11-17--酿酒行业-今世缘-乘苏酒消费升级之风，借“缘”文化立足双雄_page6_图表5今世缘股权结构.png					涟水县人民政府通过今世缘集团间接持有江苏今世缘酒业股份有限公司的股权比例是多少？	44.72%	3.49%	3.31%	无法判断	A
资产配置分析	frg	320004	data/figure/frg/2023-01-10--商业百货-王府井-御政策东风，开新局之年_page5_图1公司股权结构情况.png					王府井的股权结构中，首旅集团直接持股比例是多少？	0.0404	7.35%	0.3284	无法判断	C
资产配置分析	frg	320005	data/figure/frg/2023-12-15--软件开发-中控技术-纵向拓品类，横向拓行业，智能制造平台级巨轮驶向世界_page12_图表24公司实控人持股占比较高核心客户持股绑定业务关系.png					中控技术的最大股东是谁？	褚健	杭州元聘企业管理合伙企业（有限合伙）	香港中央结算有限公司	无法判断	A
资产配置分析	frg	320006	data/figure/frg/2023-09-28--珠宝首饰-周大生-产品结构顺风而变，渠道模型取长补短_page4_图表5周大生股权结构高度集中.png					周大生珠宝股份有限公司的股东结构中，深圳市周氏投资有限公司持有多少比例的股份？	55.57%	7.19%	2.42%	无法判断	A
资产配置分析	frg	320007	data/figure/frg/2022-12-23--能源金属-天齐锂业-资源优质，增量释放，矿冶巨头轻装再上阵_page8_图表3公司股权结构2022年6月30日发布的H股招股书数据.png					以下关于天齐锂业的股权结构，哪个描述是错误的？	蒋卫平直接持有本公司90%的股份	张静女士直接持有本公司4.18%的股份	其他A股股东直接持有本公司60.45%的股份	无法判断	A
资产配置分析	frg	320008	data/figure/frg/2022-12-20--通用设备-中大力德-公司首次覆盖报告：机器人运动执行部件制造的多面选手_page4_图1股权结构集中实控人共持股4804.png					中大投资直接持有中大力德的股份比例是多少？	24.85%	21.85%	100%	无法判断	A
资产配置分析	frg	320009	data/figure/frg/2023-09-19--工程机械-浙江鼎力-海外市场扩张及臂式产品放量驱动公司成长_page4_图表2公司股权结构截至2023年半年报.png					浙江鼎力机械股份有限公司的控股股东是谁？	德清中鼎股权投资管理有限公司	许树根	香港中央结算有限公司	无法判断	B
资产配置分析	frg	320010	data/figure/frg/2022-12-13--半导体-长川科技-长川科技：国产测试机龙头，内生+外延铸就高成长_page4_图表3公司股权结构.png					杭州长川科技股份有限公司的控股股东是谁？	赵轶	国家集成电路产业投资基金股份有限公司	香港中央结算有限公司	无法判断	A
