fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融数据推理与理解	hg	320011	data/figure/hg/2024-05-07--华金证券-2024年财政政策展望：扩张何去？融资何从？_page12_图14居民商品和服务消费同比增速对比.png					哪一年居民商品和服务消费增速差距最大？	2020	2021	2022	无法判断	B
金融数据推理与理解	hg	320014	data/figure/hg/2024-05-15--东海证券-降低金融市场收益率，引导更多资金进实体_page12_图2619802000美国股市IPO数量家.png					哪一行业在2024年5月1日的IPO数量最多？	金融	信息技术	可选消费	无法判断	A
金融数据推理与理解	hg	320015	data/figure/hg/2022-10-13--天风证券-宏观：10月社融有望维持韧性_page5_图8除地产外其他行业的贷款需求指数均有所好转单位.png					从2022年6月到2022年9月，哪个行业的贷款需求指数增长最多？	制造业	基础设施	批发零售业	无法判断	D
金融数据推理与理解	hg	320016	data/figure/hg/2022-10-30--中国银行-宏观观察2022年第47期（总第444期）：我国粮食安全面临的新挑战与应对建议＊_page5_no_caption.png					粮食产量最低的省份是？	湖南	四川	江苏	无法判断	A
金融数据推理与理解	hg	320017	data/figure/hg/2023-06-28--首创证券-5月经济数据点评：5月经济数据的一些积极特征_page5_图8多数商品的零售额同比改善地产类有所回升.png					从直方图中可以看出，2023年4月零售额同比增幅最小的商品类别是？	汽车	通讯器材	无法判断	家具	D
金融数据推理与理解	hg	320018	data/figure/hg/2023-01-29--东吴证券-宏观点评：中国资产定价了多少“放开后的复苏”？_page2_图12023年以来中国权益资产成为市场追捧的香饽饽.png					从年初至今，哪个指数的增长幅度最大？	恒生科技	恒生指数	纳斯达克	无法判断	A
金融数据推理与理解	hg	320019	data/figure/hg/2023-03-10--东吴证券-宏观点评：2月非农预示加息结局_page3_图7教育及卫生健康服务用工需求高.png					从2022年12月到2023年1月，哪个行业的职位空缺率下降最多？	制造业	建筑业	私人总计	无法判断	B
金融数据推理与理解	hg	320020	data/figure/hg/2024-08-07--麦高证券-宏观经济高频数据周报：海外经济不及预期_page7_图表6美股指数下跌.png					哪只指数在2024年8月1日的收盘价最高？	纳斯达克综合指数	标准普尔500指数	道琼斯工业平均指数	无法判断	C
金融数据推理与理解	pg	320021	data/figure/pg/2023-12-19--证券-国泰君安-公司季报点评：自营表现较为稳健，归母净利润+2.4%_page1_图1国泰君安2023年前三季度收入结构.png					如果自营和经纪业务合并，其市场占有率将达到多少？	0.46	38%	无法判断	0.48	D
金融数据推理与理解	pg	320022	data/figure/pg/2022-11-18--家电行业-恒太照明-北交所新股研究简报：深耕LED照明领域，工矿灯出口冠军_page11_图表202020年中国LED照明市场份额.png					根据图中数据，以下哪项描述最符合2020年中国LED照明市场份额的结构？	民用照明占比最高，其次是商用照明。	景观照明占比最高，其次是交通照明。	商用照明占比最高，其次是民用照明。	无法判断	A
金融数据推理与理解	pg	320023	data/figure/pg/2022-11-21--航运港口-招商南油-中国出口提振市场，“东油西运”趋势不变_page9_图15欧洲成品油进口情况百万吨.png					根据图中数据，俄罗斯的成品油进口量占欧洲总进口量的比例是多少？	38.4%	24.2%	16.4%	无法判断	A
金融数据推理与理解	pg	320024	data/figure/pg/2022-10-10--医疗器械-乐普医疗-国产心血管平台型企业，创新产品布局加速_page9_图表132018年国内起搏器产品竞争格局.png					根据图中的市场份额占比情况，美敦力与雅培的市场份额差距是多少百分点？	29个百分点	14个百分点	34个百分点	无法判断	B
金融数据推理与理解	pg	320025	data/figure/pg/2023-07-13--专用设备-日联科技-工业X射线检测装备国内龙头，突破射线源加速成长_page9_图6日联科技2022年检测设备收入占比86.png					电子制造及集成电路检测设备的收入占比是多少？	43.3%	27.0%	15.4%	无法判断	A
金融数据推理与理解	pg	320026	data/figure/pg/2022-10-19--中药-康缘药业-公司首次覆盖报告：创新引领发展，注射焕发生机，基药驱动新增长_page15_图16桂枝茯苓胶囊主要在三级医院销售基层有较大扩展空间.png					如果三级医院的市场份额增长10%，其新的市场份额将变为多少？	0.7309	53.09%	无法判断	0.6309	D
金融数据推理与理解	pg	320027	data/figure/pg/2023-12-26--电子化学品-广钢气体-国内电子大宗气体龙头，发力布局电子特气业务_page32_图35集成电路制造领域公司中标产能内资第一20182022M9.png					如果广钢气体的市场份额增加5个百分点，其新份额是多少？	0.462	36.20%	无法判断	0.312	D
金融数据推理与理解	pg	320028	data/figure/pg/2023-02-27--电子元件-杰普特-专注激光技术，打造多行业“隐形冠军”_page6_图表1420年近七成激光器用于材料加工和光通信领域.png					根据图中的业务占比情况，哪种业务的占比最高？	材料加工与光刻	通信与光存储	科研与军事	无法判断	A
金融数据推理与理解	pg	320029	data/figure/pg/2023-06-24--通用设备-秦川机床-公司首次覆盖报告：自主可控核心资产，老牌机床国企焕发新貌_page24_图492022年公司谐波减速器销量位列国产前三.png					根据图中的数据，2022年公司谐波减速器销量位列国产前三的公司是哪三家？	上海纳博特斯克、住友重机、双环传动	上海纳博特斯克、住友重机、南通振康	上海纳博特斯克、住友重机、秦川机床	无法判断	A
金融数据推理与理解	pg	320030	data/figure/pg/2023-10-13--通用设备-中核科技-核电行业景气上行，公司有望乘风而起_page6_图4公司2022年主营业务构成.png					2022年公司主营业务中，石油石化产品的市场份额占比是多少？	0.3362	28.77%	0.3404	无法判断	C
金融数据推理与理解	pg	320031	data/figure/pg/2023-06-12--农药兽药-绿亨科技-农药+种子双驱动企业研究_page9_图表162021年全球作物用农药市场品种结构.png					如果除草剂的市场价值为220亿元，那么全球作物用农药市场的总价值是多少？	500亿元	400亿元	600亿元	无法判断	A
金融数据推理与理解	pg	320032	data/figure/pg/2023-05-18--半导体-中芯国际-季报点评：产能利用率23Q2有望触底回升，关注23H2复苏进展_page2_图4公司22年下游应用领域结构情况.png					2022年，中芯国际下游应用领域中，智能手机的市场份额占比为多少？	0.141	35.9%	无法判断	0.27	D
金融数据推理与理解	pg	320033	data/figure/pg/2023-12-06--汽车零部件-伯特利-首次覆盖报告：线控制动领跑者，布局底盘一体化打开成长空间_page15_图242022年中国盘式制动器市场份额情况.png					根据图中的市场份额情况，哪个公司的市场份额最高？	大陆集团	日立安斯泰莫	采埃孚	无法判断	A
金融数据推理与理解	pg	320034	data/figure/pg/2023-02-17--小金属-中国稀土-公司深度报告：中国稀土：整合开启，掌控提升_page12_图142022年离子型稀土开采控制指标折REO吨.png					2022年离子型稀土开采控制指标折REO吨中，中国稀土集团的占比是多少？	14.10%	17.96%	67.94%	无法判断	C
金融数据推理与理解	pg	320035	data/figure/pg/2023-07-07--贵金属-紫金矿业-资源布局加速，矿业龙头稳固_page14_图表242021年我国铜下游消费结构.png					如果电力行业的铜消费量减少5个百分点，其新份额是多少？	41%	36%	46%	无法判断	A
金融数据推理与理解	lc	320036	data/figure/lc/2023-07-23--东吴证券-宏观点评：美国房地产：软着陆到底是不是伪命题？_page1_图4加息导致房地产供过于求.png					住宅完工至销售月数中位数在哪个时间段内显著上升？	1985-1989	1994-1999	2004-2008	无法判断	C
金融数据推理与理解	hg	320037	data/figure/hg/2023-04-03--平安证券-国内宏观周报：地产高频指标显著改善_page8_图表36本周蔬菜水果及猪肉批发价下跌鸡蛋价格上涨.png					哪一周猪肉批发价的环比下降幅度最大？	3月10日	3月17日	3月24日	无法判断	B
金融数据推理与理解	lc	320038	data/figure/lc/2023-05-28--国联证券-全球货币体系的大变局：去美元化、债务困境和黄金石油的机会_page13_图表19外国持有美国国债的情况亿美元.png					图中同比变化金额的最大峰值出现在哪个时间段？	2015/9/1	2017/9/1	2019/9/1	无法判断	C
金融数据推理与理解	lc	320040	data/figure/lc/2023-06-06--浦银国际证券-2023年中期宏观经济展望：美国渐入衰退，中国复苏再起_page37_no_caption.png					图中哪条曲线在2023年Q1的增长率最高？	平均每小时薪资同比	雇佣成本指数同比	亚特兰大联储薪资增长指数	无法判断	C
金融数据推理与理解	lc	320041	data/figure/lc/2023-11-06--联储证券-9月经济数据解读：固定资产稳健增长，增量政策蓄力待发_page12_no_caption.png					哪个行业在2022年1月至2022年3月期间增长最快？	交通运输、仓储和邮政业	道路运输业	铁路运输业	无法判断	A
金融数据推理与理解	lc	320042	data/figure/lc/2024-01-25--海通国际-全球能源转型：越南新能源深度探究；越南绿色革命的机遇_page29_图81尿素价格开始企稳.png					图中哪一年中东粒状现货价格首次超过750美元/吨？	2020年	2021年	2022年	无法判断	B
金融数据推理与理解	lc	320044	data/figure/lc/2023-06-07--中泰证券-宏观经济周刊：国内地产销售趋缓，海外加息预期再升温_page12_图表27主要经济体制造业PMI.png					欧元区制造业PMI在2021年的最高点出现在哪个月份？	2021-11-01 00:00:00	2021/7	无法判断	2021-05-01 00:00:00	D
金融数据推理与理解	lc	320045	data/figure/lc/2024-05-16--东吴证券-宏观点评：美国4月通胀如何影响降息演绎_page3_图5住房通胀韧性十足.png					图中标准普尔/CS房价指数环比在2022年哪一季度降至最低点？	第一季度	第二季度	第三季度	无法判断	C
金融数据推理与理解	lc	320046	data/figure/lc/2024-03-07--中国银河-对美出口转正拉动外贸超预期_page2_图21月亚洲产业链国家出口大幅改善.png					在2024年2月，哪个国家的出口增速下降幅度最大？	韩国	日本	无法判断	越南	D
金融数据推理与理解	lc	320047	data/figure/lc/2024-09-19--开源证券-9月FOMC会议点评：50bp降息开局，但后续降息节奏不确定性提升_page5_图3美国非制造业PMI在荣枯线上.png					哪一年美国ISM非制造业PMI达到最高点？	2018	2020	2021	无法判断	C
金融数据推理与理解	lc	320048	data/figure/lc/2024-02-22--中国银河-宏观专题报告：美国库存回升，中国出口转正_page0_图出口是工业企业利润的决定性因素.png					在哪个年份，出口年度同比增速达到最低点？	2009	2015	2020	无法判断	A
金融数据推理与理解	lc	320049	data/figure/lc/2023-09-24--中邮证券-高频数据看9月：消费回暖优于房地产，新兴产业持续回升_page11_图表24PTA开工率.png					哪一年的PTA开工率在9月达到最高点？	2021	2022	2023	无法判断	C
金融数据推理与理解	lc	320050	data/figure/lc/2023-10-24--华宝证券-金融产品行业生态报告：暗潮汹涌下积蓄的力量_page13_图122023H1各风格基金指数走势.png					图中哪一种风格基金指数在2023年6月30日的值最低？	小盘成长	中盘成长	大盘成长	无法判断	B
金融数据推理与理解	frg	320051	data/figure/frg/2023-07-23--化学制品-江瀚新材-硅烷行业领军企业，募投项目打开成长空间_page4_图1公司历史沿革.jpg					根据图中信息，功能性硅烷的直接前体是什么？	三氯氢硅	硅烷中间体	四氯化硅	无法确定	D
金融数据推理与理解	frg	320052	data/figure/frg/2023-12-06--汽车零部件-伯特利-首次覆盖报告：线控制动领跑者，布局底盘一体化打开成长空间_page7_图5伯特利股权结构图.jpg					线控底盘系统中，哪个部分的市场占有率逐步提升并成为标配产品？	线控制动	无法确定	线控油门	线控换挡	B
金融数据推理与理解	frg	320053	data/figure/frg/2023-06-19--电力行业-宝新能源-湾区民营火电龙头，盈利修复弹性逐显_page4_图表2宝新能源股权结构图截至2023Q1.jpg					宝新能源在2017年布局新金融产业的具体行动是什么？	投资建设陆丰甲湖湾（陆上）风电场一期项目	发起设立梅州客商银行（30%股权），布局金融产业	参股中广核汕尾海上风电	无法确定	D
金融数据推理与理解	frg	320054	data/figure/frg/2023-12-05--汽车零部件-新坐标-精密冷锻件龙头，布局全产业链发展_page6_图7新坐标股权结构.jpg					根据图中的流程，哪个环节是设计之后的直接步骤？	无法确定	精加工	装配	检验	A
金融数据推理与理解	frg	320055	data/figure/frg/2023-09-24--汽车零部件-上声电子-汽车声学稀缺标的，拓品类+拓客户持续发力_page3_图1公司发展历程.jpg					新泉股份在2022年第四季度业绩创新高的主要原因是？	客户订单持续放量	新能源汽车销量下滑	无法确定	合资外资客户减少	C
金融数据推理与理解	frg	320056	data/figure/frg/2023-05-31--化学原料-宿迁联盛-国内受阻胺光稳剂龙头，两大基地拓展产业链布局_page13_图表15光稳定剂上下游产业链.jpg					根据图表，以下哪种原料不是生产己二腈的上游原料？	丁二烯氯化	丙烯腈电解	己二酸氢化	无法确定	D
金融数据推理与理解	frg	320057	data/figure/frg/2023-04-30--汽车零部件-星源卓镁-汽车压铸件行业领跑，镁合金时代即将到来_page4_图1公司发展历程.jpg					根据图片内容，星源卓镁在2014-2016年期间的主要产品是什么？	铝合金电动自行车支架	镁合金汽车散热支架	无法确定	镁合金灯具类产品	C
金融数据推理与理解	frg	320058	data/figure/frg/2023-11-30--医疗服务-金域医学-坚持创新和长期主义，ICL龙头开启发展新篇章_page20_图29Quest可检测的疾病类型分类.jpg					根据图片，ICL龙头在哪个领域计划实现超过2%的年增长率？	Health Plans	Hospital Health Systems	Advanced Diagnostics	无法确定	D
金融数据推理与理解	frg	320059	data/figure/frg/2023-01-01--化学制品-鼎际得-国产聚烯烃催化剂龙头蓄势待发_page7_图表7常用的烯烃聚合催化剂的分类.jpg					图中用于增强改性塑料的复合助剂包含以下哪种抗氧剂？	无法确定	抗氧剂1010	其他抗氧剂	除酸剂	A
金融数据推理与理解	frg	320061	data/figure/frg/2023-11-30--有色金属-云铝股份-绿电铝一体化龙头，享受长期成本优势_page5_图2公司股权架构截至2023年6月30日.jpg					以下哪个股东直接持有浙江华统肉制品股份有限公司的股权？	朱俭勇	朱俭军	无法确定	其他	C
金融数据推理与理解	frg	320062	data/figure/frg/2023-10-15--汽车零部件-菱电电控-双转战略促量价齐升逻辑凸显，T-BOX塑造第二增长极_page5_图1菱电电控发展历程.jpg					图中哪位股东的持股比例最高？	无法确定	龚本和	吴章华	谭纯	A
金融数据推理与理解	frg	320063	data/figure/frg/2022-12-05--工程建设-山东路桥-交通强省潜力十足，山东基建龙头再腾飞_page6_图表4公司股权结构截至2022Q3.jpg					根据图表，山东路桥集团重组后加入山东高速集团的时间是？	无法确定	2006年	2008-2011年	2019年	A
金融数据推理与理解	frg	320064	data/figure/frg/2022-12-22--工程建设-中国化学-深度报告之二：新能源材料的技术供应商_page27_图表成达公司氯碱及下游产品链.jpg					中国化学工程股份有限公司的最大股东是谁？	无法确定	全国社会保障基金理事会	中化EB担保及信托财产专户	金石制造业转型升级新材料基金（有限合伙）	A
金融数据推理与理解	frg	320065	data/figure/frg/2022-12-12--电池-南都电源-全面构建产业一体化，锂电储能量利双升_page4_图表2南都电源发展历程.jpg					废旧锂离子电池回收利用过程中，带电破碎后的下一步是什么？	无法确定	电解液收集装置	气体净化装置	多组份筛分分选装置	A
金融数据推理与理解	frg	320066	data/figure/frg/2022-11-13--文化传媒-博纳影业-深度报告：深耕主旋律商业化，布局全产业链稳中求胜_page17_图表公司业务模式.jpg					以下哪部电影标志着主旋律电影创作的崭新篇章？	《湄公河行动》	《战狼2》	《红海行动》	无法确定	D
金融数据推理与理解	frg	320067	data/figure/frg/2023-01-09--电子元件-方邦股份-首次覆盖：电磁屏蔽膜有望突破大客户；铜箔、FCCL多元布局打开成长空间_page2_图1FPC产业链.jpg					方邦电子有限公司在哪一年成功将高端屏蔽膜推向市场？	2015	无法确定	2018	2019	B
金融数据推理与理解	frg	320068	data/figure/frg/2023-06-18--医疗器械-山外山-全产业链布局的国产血液净化龙头_page11_图12血液净化全产业链.jpg					根据图片内容，哪种血液净化耗材主要用于清除血液内的有害物质、维持电解质和酸碱平衡？	透析液/粉	无法确定	灌流器	血液回路	B
金融数据推理与理解	frg	320069	data/figure/frg/2023-01-13--软件开发-博思软件-持续高成长的政务IT龙头，数字经济夯实成长台阶_page13_图表15公司主要产品情况.jpg					博思软件在2001-2008年期间的主要业务是什么？	无法确定	布局全国，开拓进取	乘风破浪，跨越发展	专注科技与创新，更好服务于社会公众	A
