fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融风险与政策分析​	lc	320043	data/figure/lc/2023-08-09--信达证券-暨出口份额分析框架：出口的短期机会与长期挑战_page18_no_caption.png					哪一年美国零售商销售额的同比增长率波动最大？	2014	2016	无法判断	2020	D
金融风险与政策分析​	lc	320104	data/figure/lc/2024-03-26--国信证券-货币政策与流动性观察：资金利率温和回升_page11_图29主要货币指数走势.jpg		美联储主席鲍威尔在JacksonHole会议暗示9月美联储有望开启降息。联邦资金利率期货隐含9月美联储FOMC降息25bp的可能性为63.5%，降息50bp的可能性为36.5%。国内流动性方面，随着税期和政府债券缴款压力度过，央行上周大幅净回笼流动性，因此资金面均衡偏紧。尽管上周隔夜和7天资金利率中枢较前一周回落，但从上周全周的资金走势看，总体“前低后高”，反映周中流动性压力有所上升。国信货币政策力度指数较前一周（8月12日-8月18日）下降0.1，位于101.42。其中价格指标上升贡献-95.6%，数量指标下降贡献195.6%。价格指数上升（宽松）主要由上周全周标准化后R加权利率偏离度、DR加权利率偏离度（相较同期限OMO）以及R001累。数量上，央行上周公开市场操作对数量指标形成拖累。央行公开市场操作：上周（8月19日-8月25日），央行净投放流动性-3471.0亿元。其中：7天逆回购净投放-3471.0亿元（到期15449.0亿元，投放11978.0亿元），14天逆回购净投放0亿元（到期0亿元，投放0亿元）。本周（8月26日-9月1日），央行逆回购将到期11978.0亿元，其中7天逆回购到期11978.0亿元，14天逆回购到期0亿元。截至本周一（8月5日）央行7天逆回购净投放4189亿元，14天逆回购净投放0亿元，MLF净投放3000亿元（到期0亿元，投放3000亿元），OMO存量为16167亿元。银行间交易量：银行间市场质押回购平均日均成交6.21万亿，较前一周（8月5日-8月11日）减少1.06万亿。隔夜回购占比为87.1%，较前一周（89.3%）下降2.2pct。债券发行：上周政府债净融资2903.1亿元，本周计划发行7633.5亿元，净融资额预计为2620.0亿元；上周同业存单净融资332.9亿元，本周计划发行1953.3亿元，净融资额预计为-2540.2亿元；上周政策银行债净融资1340.0亿元，本周计划发行120.0亿元，净融资额预计为80.0亿元；上周商业银行次级债券净融资-864.5亿元，本周计划发行1221.0亿元，净融资额预计为899.5亿元；上周企业债券净融资-25.1亿元（其中城投债融资贡献约922.98%），本周计划发行1770.3亿元，净融资额预计为-1445.1亿元。月16日）下行0.50至97.89，同期美元指数下行1.72，位于101.37。8月22日，美元兑人民币在岸汇率较8月16日基本稳定，位于7.14；离岸汇率位于7.13。风险提示：海外市场波动，海外经济进入衰退			图中哪个货币指数在2022年波动最大？	人民币指数	美元指数	欧元指数	日元指数	C
金融风险与政策分析​	lc	320112	data/figure/lc/2023-07-31--中邮证券-宏观研究：装备制造业盈利占优，消费需求温和复苏_page5_图表5装备制造业相关行业盈利领先.jpg		三季度经济数据公布，经济持续恢复向好高质量发展稳步推进。具体来看，体现出以下三个特征：第一，支出端消费贡献提升。第二，生产端平稳扩张。第三，国企生产加速扩张，民营企业经营改善。四季度居民收入有望跟随经济恢复继续提升，进而支撑居民消费，同时房地产市场局部改善有望在更大区域扩展，另外，因去年受外部冲击影响GDP增长2.9%，基数相对较低。经济改善有望持续。而通胀水平的抬升亦有望助推经济名义增速的提高，进而改善企业盈利。鉴于经济在三季度实现超预期增长，我们认为此阶段逆周期政策进一步加码的必要性相对降低，后续重点在已出政策持续落实。			铁路、船舶、航空航天和其他运输设备制造业在哪段时间内的累计同比增速波动最大？	2021-10至2022-02	2022-02至2022-05	2022-05至2022-08	2022-08至2023-03	D
金融风险与政策分析​	lc	320115	data/figure/lc/2023-12-17--中国银河-2024年中国经济展望：《变局·重构》_page13_图19地产周期和康波周期示意图.jpg		1月7日，中国银河证券2025年度策略会在深圳举办，会议以“大重构 大变革”为主题。中国银河证券党委副书记、总裁薛军在致辞中表示，在过去的一年里，市场见证了科技创新迅猛发展、全球产业链深刻调整以及国际政治经济格局重大变化。当前，全球经济处于重构和变革之中，在重构中构建更加稳健和可持续的发展模式，在变革中寻找新的经济增长点和投资机会，将是市场各方在2025年重点探讨的话题。 对于2025年市场展望，中国银河证券表示，我国经济政策的底层逻辑已经重构，资本市场迎来了难得的发展机遇。2025年，一方面通过实施更大力度的逆周期政策，对冲新旧动能转换的阵痛，以进促稳，改善预期；另一方面，推动标志性改革落地见效，以改革促发展，进一步提振预期			图中哪个周期的波动幅度更大？	地产周期	康波周期	金融周期	产业周期	A
金融风险与政策分析​	hg	320124	data/figure/hg/2024-02-05--国金证券-大类资产月报第9期：2月展望，行至水穷处？_page15_图表46本月发达国家10年期国债收益率全线上涨.jpg		"截至12月12日，10年期国债收益率已下跌至1.809%。Wind数据显示，近一月，10年期国债收益率先后跌破2.0%、1.9%、1.85%等关口，整体降幅近30基点。
光大证券在最新研报中分析指出，导致收益率下行的因素较多。“例如，利率自律机制《关于优化非银同业存款利率自律管理的自律倡议》提升了投资机构配置CD（大额可转让定期存单）的需求、压低了CD利率，也给收益率曲线长端的下行提供了空间。再如，银行贷款所形成的利息收入是随时间而积累的，现阶段新发放贷款所积累的利息对于今年利润的增厚作用较为有限，而此时债券市场又存在赚钱效应，因此不免有个别银行激进地通过利率债市场博取利润。”
济安金信基金评价中心副主任张碧璇进一步分析，近期的中共中央政治局会议传递稳增长信号，强调“实施更加积极的财政政策和适度宽松的货币政策”“加强超常规逆周期调节”等，且政府债供给高峰已过，季节性配置旺季来临，债市表现较为强势。"			哪个国家的国债收益率最低？	美国	日本	法国	意大利	A
金融风险与政策分析​	lc	320152	data/figure/lc/2023-12-09--华金证券-华金宏观·双循环周报（第35期）：CPI走弱非农转强，中美央行如何抉择？_page10_图15美国短端国债收益率本周上行较多.jpg					观察图表，哪个期限的国债收益率在2020年12月8日和2020年12月1日之间变化最大？	3M	无法确定	5Y	10Y	B
金融风险与政策分析​	lc	320153	data/figure/lc/2024-07-16--华泰期货-中国2024年上半年经济数据图景：形有波动、势仍向好_page5_图96月生产资料PPI同比mathbf08丨单位YOY.jpg					在2020年至2025年间，哪个指标的PPI同比变化经历了最大的波动？	生产资料	无法确定	原料	加工	B
金融风险与政策分析​	lc	320155	data/figure/lc/2024-07-05--中国银河-宏观动态报告：汇率来到关键位置_page2_图61年期NDF隐含的汇率预期.jpg					1年期NDF隐含的汇率预期在2023年1月至2024年12月期间的最大波动幅度出现在哪个月？	2023-08	2023-11	2024-03	无法确定	D
金融风险与政策分析​	lc	320159	data/figure/lc/2024-08-19--浙商期货-宏观周报：国内7月CPI数据回升，但PPI数据劈叉_page5_no_caption.jpg					在2024年至2025年间，政府债券融资规模在哪个月份达到峰值？	2022-07-31	2022-12-31	无法确定	2023-09-30	C
金融风险与政策分析​	lc	320167	data/figure/lc/2023-09-13--中诚信国际-2023年8月价格数据点评：政策发力通胀拐点已至，价格水平有望延续回升_page3_图5PPI降幅收窄.jpg					图中显示，哪类食品在2022年10月至2024年12月期间波动最大？	无法确定	畜肉类	蛋类	鲜果	A
金融风险与政策分析​	frg	320195	data/figure/frg/2023-08-06--工程建设-浙江交科-区域基建高景气，聚焦主业高分红地方国企再腾飞_page4_图2股权结构图截至2023年6月21日.jpg					截至2024年6月21日，浙江省财政厅通过浙江省财务开发有限责任公司间接持有浙江交通科技股份有限公司的比例是多少？	无法确定	9.03%	6.03%	3.6%	A
金融风险与政策分析​	lc	130002	data/figure/lc/2024-02-27--华安证券-大类资产配置月报第32期：2024年3月：政策博弈加剧，关注“两会”与美联储降息时点_page26_高炉开工率PX开工率走平轮胎开工率下降.jpg					图中哪个指标在2023年12月至2024年1月期间波动最大？	开工率:汽车轮胎:全钢胎	PX开工率（周平均值）	唐山:Custeel:高炉开工率	所有指标波动一致	A
金融风险与政策分析​	lc	130004	data/figure/lc/2024-07-05--建信期货-宏观市场半年报：央行宽松、实体补库与春季躁动_page8_图7美国部门债务杠杆率.jpg					实体部门债务杠杆率在哪几年达到峰值？	2010	2015	2020	2025	C
金融风险与政策分析​	lc	130006	data/figure/lc/2023-08-09--信达证券-暨出口份额分析框架：出口的短期机会与长期挑战_page21_图29与我国相关性强的耐用品库存增速.jpg					在2020年至2023年间，哪些类别的产品增速波动最大？	电脑及电脑外围设备和软件	电气和电子产品	机械设备和用品	家具及家居摆设	A;D
金融风险与政策分析​	lc	130008	data/figure/lc/2024-05-07--国泰期货-海外宏观及大类资产周度报告_page28_no_caption.jpg					图中哪些时间段的资金流量波动最大？	2021年12月	2022年6月	2023年3月	2024年5月	B;C
金融风险与政策分析​	lc	130054	data/figure/lc/2023-06-27--国信证券-宏观经济宏观周报：国信宏观扩散指数小幅回落_page4_图1国信高频宏观扩散指数.jpg					国信高频宏观扩散指数B在哪几年达到了峰值？	2019	2020	2021	2022	B;C
金融风险与政策分析​	lc	130055	data/figure/lc/2023-05-14--国海证券-日本人口达峰后产业及消费趋势的变化对我国的启示_page35_图表日本便利店及零售龙头在2010年后取得不俗的超额收益.jpg					在2010年后，NITORI控股公司的收益与Seven & I控股公司的收益相比如何？	一直领先	一度超越	始终落后	波动较大	B;D
金融风险与政策分析​	lc	130065	data/figure/lc/2023-04-18--国信证券-货币政策与流动性观察：3月金融数据的两个隐忧_page9_no_caption.jpg					在哪些时间段内，量指数周度变化波动较大？	2022年1月至2月	2022年7月至8月	2022年12月至2023年1月	2023年2月至3月	C;D
金融风险与政策分析​	lc	130068	data/figure/lc/2024-09-26--中国银河-9月中央政治局会议简评：会议时点和力度超预期，债市利空扰动增多_page2_图1年中以来股债跷跷板较为明显.jpg					图中哪段时间段内中债国债到期收益率下降明显？	2024年1月-2月	2024年3月-4月	2024年5月-6月	2024年8月-9月	A;D
金融风险与政策分析​	lc	130080	data/figure/lc/2023-05-09--南华期货-南华宏观周报：1970年代初美股美债走势盘点_page5_图1110美债发行量增大也助推美债利率走高.jpg					哪一年美国联邦政府债务总额首次超过600亿美元？	1972/1/31	1974/1/30	1976/1/30	1978/1/29	C
金融风险与政策分析​	lc	130089	data/figure/lc/2023-08-02--华福证券-7月宏观月报：经济稳步回升，政策多重利好_page6_图表8PPI当月同比及环比走势.jpg					哪一年PPI环比波动最大？	2020	2021	2022	2023	C
金融风险与政策分析​	lc	130094	data/figure/lc/2024-03-19--国信证券-货币政策与流动性观察：资金面维持韧性_page11_图29主要货币指数走势.jpg					图中哪些货币指数在2023年持续下降？	人民币指数	美元指数	欧元指数	日元指数	D
金融风险与政策分析​	lc	130096	data/figure/lc/2024-04-28--平安证券-海外观察室：为何一季度GDP总是偏弱？_page5_图表10数据公布后美债收益率上行.jpg					图中哪段时间2年美债收益率出现明显波动？	4/24 8:00 - 4/24 12:00	4/24 12:00 - 4/25 4:00	4/25 4:00 - 4/25 12:00	4/25 12:00 - 4/26 4:00	D
金融风险与政策分析​	lc	130098	data/figure/lc/2023-05-22--国金证券-见微知著系列之五十二：用电变化，透露的经济线索？_page9_图表27上周邮政快递揽收量与投递量大幅提升.jpg					图中邮政快递投递量在哪几个时间段内波动最大？	2022年Q1	2022年Q3	2022年Q4	2023年Q1	C;D
金融风险与政策分析​	lc	130106	data/figure/lc/2024-07-05--建信期货-宏观市场半年报：央行宽松、实体补库与春季躁动_page5_图1美国货币金融环境边际宽松.jpg					哪一年金融状况指数/R的波动最大？	2018年	2020年	2021年	2023年	B
金融风险与政策分析​	hg	130111	data/figure/hg/2022-12-18--粤开证券-【粤开宏观】从财税视角看内蒙古：北部边疆的突围之路_page23_no_caption.jpg					在直方图中，政府性基金收入最高的三个地区是？	伊金霍洛旗	达拉特旗	东胜区	鄂托克旗	A;B;C
金融风险与政策分析​	hg	130112	data/figure/hg/2024-06-13--国金证券-政策周报第17期：地方“收储”的最优解？_page10_图表22汽车以旧换新中央财政补贴分配.jpg					直方图显示，哪个区域的省份汽车以旧换新中央财政补贴分配相对较高？	东部	中部	西部	东北	A;B
金融风险与政策分析​	hg	130117	data/figure/hg/2022-12-18--粤开证券-【粤开宏观】从财税视角看内蒙古：北部边疆的突围之路_page23_图表342021年内蒙古自治区代表旗县土地财政依赖度.jpg					根据直方图，以下哪些地区的土地财政依赖度超过10%？	达拉特旗	石拐区	鄂托克旗	伊金霍洛旗	A;B;C;D
金融风险与政策分析​	hg	130118	data/figure/hg/2024-03-17--东海证券-宏观周报：设备更新和消费品以旧换新扩内需，股市新政稳市场_page8_图7房地产非银融资规模亿元.jpg					哪几个月份的融资总额超过800亿元？	Mar-22	Jul-22	Mar-23	Jul-23	A;B;C
金融风险与政策分析​	hg	130119	data/figure/hg/2024-03-25--国金证券-“美国大选”系列之五：特朗普2.0：政策组合，有何不同？_page6_图表11拜登第一任期主要关注医疗经济等问题.jpg					在拜登政府的主要关注事项中，哪些领域的政策兑现情况较好？	医疗	经济	司法	国家安全	A;B
金融风险与政策分析​	hg	130125	data/figure/hg/2024-06-23--中银证券-宏观和大类资产配置周报：外需不确定性加大，内需是稳增长重点_page3_图表2大类资产收益率横向比较.jpg					在2024年6月14日，哪类资产的收益率最低？	余额宝	房租回报率	工业利润率	A股	A;B
金融风险与政策分析​	hg	130134	data/figure/hg/2022-12-30--中银证券-宏观深度：深度理解人行资产负债表_page13_图表25政府存款具备较强的季节性.jpg					根据直方图，政府存款在哪些月份达到峰值？	1月	5月	10月	11月	C;D
金融风险与政策分析​	hg	130141	data/figure/hg/2023-07-07--华福证券-6月全球经济观察：如何看待海外经济的“衰退”？_page8_图表96月人民币较美元贬值美元指数下跌.jpg					在6月涨跌幅中，哪些货币兑人民币的涨幅在0到2%之间？	欧元兑人民币	新西兰元兑人民币	美元兑人民币	新加坡元兑人民币	C;D
金融风险与政策分析​	hg	130150	data/figure/hg/2023-02-27--国金证券-宏观专题研究报告（深度）：美联储会上调通胀目标吗？_page23_图表71当周美元指数上涨欧元兑美元贬值.jpg					根据直方图，哪几种货币兑美元的汇率下降了？	欧元兑美元	英镑兑美元	日元兑美元	加元兑美元	A;B;C;D
金融风险与政策分析​	hg	130152	data/figure/hg/2023-07-20--中银证券-6月及上半年财政数据点评：“扩内需”需要政策增量补充_page3_图表10政府性基金预算收入当月规模.jpg					在2022年中，地方本级政府性基金收入在哪几个月份显著高于其他月份？	Feb-22	May-22	Aug-22	Nov-22	A;D
金融风险与政策分析​	hg	130155	data/figure/hg/2023-02-13--中国银河-2023年1月通胀点评：物价弱势恢复，全年保持温和_page1_图3食品和非食品价格对CPI的拉动.jpg					根据右图，哪几类商品和服务的价格波动最大？	居住;教育文化和娱乐	衣着;交通和通信	生活用品及服务;医疗保健	其他用品和服务	A;B
金融风险与政策分析​	hg	130167	data/figure/hg/2022-12-12--中银证券-大类资产配置周报：期待经济运行整体好转_page3_图表2大类资产收益率横向比较.jpg					根据直方图，以下哪些资产在2022年12月2日的收益率低于4.15%？	十年国债	三年定存	余额宝	房租回报率	B;C;D
金融风险与政策分析​	hg	130172	data/figure/hg/2024-05-08--国金证券-大类资产月报第12期：5月展望：“拐点”已现？_page15_图表46本月新兴市场10年期国债收益率全线上行.jpg					哪两个国家的国债收益率最低？	泰国	越南	印度	南非	B;C
