fintype	type	index	image	md_path	background_story	information	round	question	A	B	C	D	answer
金融策略优化	pg	130730	data/figure/pg/2023-12-13--电子元件-隆扬电子-国内垂直电磁屏蔽材料供应商，拓展复合铜箔储备新增长级_page16_图212021年公司前五大客户销售金额占比.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	广达集团的市场份额可能减少	富士康集团的市场份额可能增加	嘉联益电子的市场份额可能保持不变	立讯精密的市场份额可能减少	A;D
金融策略优化	pg	130734	data/figure/pg/2023-12-26--化纤行业-皖维高新-PVA龙头，新材料打开成长空间_page13_图表262021年全球PVB树脂消费结构.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	汽车业务的市场份额将减少	建筑业务的市场份额将减少	再生能源业务的市场份额将减少	其他业务的市场份额将减少	A;B
金融策略优化	pg	130737	data/figure/pg/2022-11-23--电池-鹏辉能源-公司首次覆盖报告：户储电池全球前二，大储电池放量在即_page9_图152021年新型储能累计装机中锂离子具有显著优势.jpg					如果新型储能的市场份额增加5%，以下哪些企业的市场份额将超过10%？	抽水蓄能	锂离子电池	钠硫电池	铅蓄电池	A;B
金融策略优化	pg	130739	data/figure/pg/2022-12-26--家电行业-海信家电-深度报告：央空与三电双剑合璧，热管理集成强者争霸_page16_图38海信日立多联机业务处于行业第二.jpg					如果海信日立的市场份额增加5%，以下哪些企业的市场份额将减少？（假设均匀分配）	大金	东芝	格力	美的	A;B;C;D
金融策略优化	pg	130757	data/figure/pg/2022-12-04--仪器仪表-林洋能源-智能电表稳健发展，储能光伏破浪前行_page6_图32021年公司电表光伏发电光伏EPC营收占比合计94.jpg					如果电表业务的市场份额减少5%，以下哪些业务的市场份额将接近30%？（假设均匀分配）	储能业务	光伏发电业务	光伏EPC业务	其他产品	B;C
金融策略优化	pg	130760	data/figure/pg/2023-12-06--医疗器械-春立医疗-关节领域国产领头羊，集采影响逐渐出清_page22_图432018年骨科医疗器械分地区收入占比情况.jpg					如果北美地区的市场份额减少5%，以下哪些地区的市场份额将接近20%？（假设均匀分配）	亚太	欧洲	其他	无	A;B
金融策略优化	pg	130764	data/figure/pg/2023-01-12--电子化学品-广信材料-公司深度报告：定增落地推动经营反转，光伏新材料有望开启新增长_page20_图28松井股份2021年收入结构.jpg					如果涂料系列产品收入减少5%，以下哪些类别的市场份额将增加？	特种油墨	其他	无变化	无法确定	A;B
金融策略优化	pg	130778	data/figure/pg/2023-11-28--通信设备-海能达-公司首次覆盖报告：“2+3+1”战略成效初现，多业务协同重回增长正轨_page11_图18中国专网通信市场结构2021年.jpg					根据饼图，如果公共安全业务的市场份额增加5%，以下哪些业务的市场份额将减少？	公共事业	工商业	其他业务	所有业务	A;B
金融策略优化	pg	130790	data/figure/pg/2023-03-15--通信服务-中国移动-运营商龙头，数字经济领导者_page19_图402020年中国IDC市场竞争格局单位.jpg					如果市场中新出现一家企业“P”，其市场份额为5%，以下哪些变化可能发生？	中国电信的市场份额下降	中国移动的市场份额上升	中国联通的市场份额不变	其他企业的市场份额总和减少	A;D
金融策略优化	pg	130825	data/figure/pg/2023-05-17--航天航空-航天环宇-新股覆盖研究：航天环宇_page6_图72020年航空航天各领域碳纤维需求情况单位吨.jpg					如果将占比额低于5%的企业合并为一类，新类别的市场占有率包括以下哪些部分？	公务机	直升机	无人机	通用飞机	A;B
金融策略优化	pg	130831	data/figure/pg/2022-12-19--农牧饲渔-隆平高科-深度报告：乘转基因政策春风，种业龙头蓄势待发_page7_图152020年中国杂交玉米种业市场竞争格局.jpg					如果将占比额低于5%的企业合并为一类，新类别的市场占有率包括以下哪些部分？	隆平高科	登海种业	垦丰种业	其他	B;C
金融策略优化	pg	130836	data/figure/pg/2023-05-12--半导体-芯源微-业绩同比高增，产品结构持续优化_page2_图3公司2022年营业收入结构.jpg					如果将占比额低于5%的业务合并为一类，新类别的市场占有率包括以下哪些部分？	光刻工序涂胶显影设备	单片式湿法设备	其他设备	其他业务	C;D
金融策略优化	pg	130839	data/figure/pg/2023-05-26--半导体-北方华创-半导体设备平台型公司，受益国产替代加速_page20_图412022年华虹无锡PVD中标情况.jpg					如果北方华创的收入为2亿元，则比该业务收入高的有哪些？	AMAT	SPTS	无	所有公司	A
金融策略优化	pg	130878	data/figure/pg/2022-12-06--电子元件-三环集团-三环集团：MLCC进入底部区间，材料平台型公司迎来新发展_page22_no_caption.jpg					如果将占比额低于5%的企业合并为一类，新类别的市场占有率包括以下哪些部分？	三环集团	宇阳	其他	风华高科	A;B;C
金融策略优化	pg	130895	data/figure/pg/2023-01-10--商业百货-王府井-御政策东风，开新局之年_page25_图292019年韩国首尔本国人免税销售额构成.jpg					如果韩国首尔本国人免税销售额为100亿元，那么机场店销售的金额是多少？	44亿元	56亿元	30亿元	70亿元	A
金融策略优化	pg	130911	data/figure/pg/2023-10-04--酿酒行业-今世缘-深度报告：乘势而起，百亿新征程_page25_图432022年公司产品结构.jpg					如果将占比额低于5%的企业合并为一类，新类别的市场占有率包括以下哪些部分？	特A+类	特A类	A类	B类	C;D
金融策略优化	pg	130946	data/figure/pg/2023-03-10--电池-宁德时代-2022年报点评：Q4电池毛利率明显恢复，报表质量优秀_page8_图9宁德时代客户结构.jpg					如果将2020年占比额低于5%的企业合并为一类，新类别的市场占有率包括以下哪些部分？	东风汽车, 广汽通用	上海汽车	长城汽车	理想汽车	A;B;C
