type	index	image	round	question	A	B	C	D	answer
fs	1	data/figure/fs/专用设备-国机通用-聚焦流体机械，行稳致远，拾级而上_page19_财务报表与盈利预测.jpg,data/figure/fs/专用设备-杰瑞股份-董事长等拟增持股份，彰显长期发展信心_page1_附表财务预测与估值.jpg	1	根据资产负债表和利润表，2023年公司的总负债率为多少？	0.4597	0.3978	0.4791	0.4933	A
fs	2	data/figure/fs/酿酒行业-今世缘-2万吨产能开酿赋能品质升级，千元价位推新完善产品布局_page2_财务预测与估值.jpg,data/figure/fs/酿酒行业-贵州茅台-回购增强信心，价值龙头担当_page4_no_caption.jpg,data/figure/fs/酿酒行业-重庆啤酒-2024年中报点评：Q2实现量升价平，盈利能力短期承压_page1_附表财务预测与估值.jpg	1	根据资产负债表和利润表，2023年贵州茅台的流动资产总额是多少？	225173	12614.0	12741.0	13057	A
fs	2	data/figure/fs/酿酒行业-今世缘-2万吨产能开酿赋能品质升级，千元价位推新完善产品布局_page2_财务预测与估值.jpg,data/figure/fs/酿酒行业-贵州茅台-回购增强信心，价值龙头担当_page4_no_caption.jpg,data/figure/fs/酿酒行业-重庆啤酒-2024年中报点评：Q2实现量升价平，盈利能力短期承压_page1_附表财务预测与估值.jpg	2	根据资产负债表和利润表，2023年今世缘的流动负债合计是多少？	178.0	201.0	8241	201.0	C
fs	2	data/figure/fs/酿酒行业-今世缘-2万吨产能开酿赋能品质升级，千元价位推新完善产品布局_page2_财务预测与估值.jpg,data/figure/fs/酿酒行业-贵州茅台-回购增强信心，价值龙头担当_page4_no_caption.jpg,data/figure/fs/酿酒行业-重庆啤酒-2024年中报点评：Q2实现量升价平，盈利能力短期承压_page1_附表财务预测与估值.jpg	3	根据资产负债表和利润表，2023年贵州茅台的股东权益合计是多少？	204965.0	223656.0	247266.0	278395	B
fs	2	data/figure/fs/酿酒行业-今世缘-2万吨产能开酿赋能品质升级，千元价位推新完善产品布局_page2_财务预测与估值.jpg,data/figure/fs/酿酒行业-贵州茅台-回购增强信心，价值龙头担当_page4_no_caption.jpg,data/figure/fs/酿酒行业-重庆啤酒-2024年中报点评：Q2实现量升价平，盈利能力短期承压_page1_附表财务预测与估值.jpg	4	根据资产负债表和利润表，2023年重庆啤酒的存货净额是多少？	21.0	21.85	22.85	23.83	A
fs	3	data/figure/fs/软件开发-星环科技-收入端稳健，毛利率提升显著_page1_盈利预测表.jpg,data/figure/fs/软件开发-启明星辰-价值经营持续深化，全面布局BASIC6+X领域_page2_附表财务报表预测摘要及指标.jpg,data/figure/fs/软件开发-深信服-Q2收入降幅环比大幅收窄，趋势有望加速_page1_.jpg,data/figure/fs/软件开发-用友网络-云业务成长性良好，海外订单高增_page1_盈利预测表.jpg,data/figure/fs/软件开发-奇安信-毛利润同比扭亏，垂类模型推广顺利_page1_no_caption.jpg	1	根据资产负债表和利润表，2023年深信服的营业利润为多少？	209	245	382	527	A
fs	3	data/figure/fs/软件开发-星环科技-收入端稳健，毛利率提升显著_page1_盈利预测表.jpg,data/figure/fs/软件开发-启明星辰-价值经营持续深化，全面布局BASIC6+X领域_page2_附表财务报表预测摘要及指标.jpg,data/figure/fs/软件开发-深信服-Q2收入降幅环比大幅收窄，趋势有望加速_page1_.jpg,data/figure/fs/软件开发-用友网络-云业务成长性良好，海外订单高增_page1_盈利预测表.jpg,data/figure/fs/软件开发-奇安信-毛利润同比扭亏，垂类模型推广顺利_page1_no_caption.jpg	2	根据资产负债表和利润表，2023年用友网络的营业利润为多少？	-900	-234	139	526	A
fs	3	data/figure/fs/软件开发-星环科技-收入端稳健，毛利率提升显著_page1_盈利预测表.jpg,data/figure/fs/软件开发-启明星辰-价值经营持续深化，全面布局BASIC6+X领域_page2_附表财务报表预测摘要及指标.jpg,data/figure/fs/软件开发-深信服-Q2收入降幅环比大幅收窄，趋势有望加速_page1_.jpg,data/figure/fs/软件开发-用友网络-云业务成长性良好，海外订单高增_page1_盈利预测表.jpg,data/figure/fs/软件开发-奇安信-毛利润同比扭亏，垂类模型推广顺利_page1_no_caption.jpg	3	根据资产负债表和利润表，2023年奇安信的营业利润为多少？	-20	234	476	734	A
fs	3	data/figure/fs/软件开发-星环科技-收入端稳健，毛利率提升显著_page1_盈利预测表.jpg,data/figure/fs/软件开发-启明星辰-价值经营持续深化，全面布局BASIC6+X领域_page2_附表财务报表预测摘要及指标.jpg,data/figure/fs/软件开发-深信服-Q2收入降幅环比大幅收窄，趋势有望加速_page1_.jpg,data/figure/fs/软件开发-用友网络-云业务成长性良好，海外订单高增_page1_盈利预测表.jpg,data/figure/fs/软件开发-奇安信-毛利润同比扭亏，垂类模型推广顺利_page1_no_caption.jpg	4	哪一家公司2023年的营业利润最高？	启明星辰	深信服	用友网络	奇安信	A
fs	3	data/figure/fs/软件开发-星环科技-收入端稳健，毛利率提升显著_page1_盈利预测表.jpg,data/figure/fs/软件开发-启明星辰-价值经营持续深化，全面布局BASIC6+X领域_page2_附表财务报表预测摘要及指标.jpg,data/figure/fs/软件开发-深信服-Q2收入降幅环比大幅收窄，趋势有望加速_page1_.jpg,data/figure/fs/软件开发-用友网络-云业务成长性良好，海外订单高增_page1_盈利预测表.jpg,data/figure/fs/软件开发-奇安信-毛利润同比扭亏，垂类模型推广顺利_page1_no_caption.jpg	5	根据多轮问答的结果，哪一家公司的营业利润最低？	启明星辰	深信服	用友网络	奇安信	C
fs	4	data/figure/fs/电子元件-世华科技-电子复合材料国产替代领先企业，光电材料进入高速成长期_page2_财务预测与估值.jpg,data/figure/fs/电子元件-沪电股份-沪电股份：数据中心和汽车PCB双轮驱动_page25_.jpg,data/figure/fs/电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page26_附财务预测摘要.jpg,data/figure/fs/电子元件-景旺电子-汽车+AI构筑发展核心动力，聚焦高端助力盈利能力提升_page18_no_caption.jpg	1	根据世华科技的资产负债表和利润表，2023年的流动资产总额是多少？	586百万元	936百万元	1066百万元	1290百万元	B
fs	4	data/figure/fs/电子元件-世华科技-电子复合材料国产替代领先企业，光电材料进入高速成长期_page2_财务预测与估值.jpg,data/figure/fs/电子元件-沪电股份-沪电股份：数据中心和汽车PCB双轮驱动_page25_.jpg,data/figure/fs/电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page26_附财务预测摘要.jpg,data/figure/fs/电子元件-景旺电子-汽车+AI构筑发展核心动力，聚焦高端助力盈利能力提升_page18_no_caption.jpg	2	根据沪电股份的资产负债表和利润表，2024年的流动负债总额是多少？	6987百万元	11542百万元	14735百万元	19523百万元	A
fs	4	data/figure/fs/电子元件-世华科技-电子复合材料国产替代领先企业，光电材料进入高速成长期_page2_财务预测与估值.jpg,data/figure/fs/电子元件-沪电股份-沪电股份：数据中心和汽车PCB双轮驱动_page25_.jpg,data/figure/fs/电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page26_附财务预测摘要.jpg,data/figure/fs/电子元件-景旺电子-汽车+AI构筑发展核心动力，聚焦高端助力盈利能力提升_page18_no_caption.jpg	3	根据成电光信的资产负债表和利润表，2023年的非流动资产总额是多少？	28百万元	32百万元	37百万元	48百万元	B
fs	4	data/figure/fs/电子元件-世华科技-电子复合材料国产替代领先企业，光电材料进入高速成长期_page2_财务预测与估值.jpg,data/figure/fs/电子元件-沪电股份-沪电股份：数据中心和汽车PCB双轮驱动_page25_.jpg,data/figure/fs/电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page26_附财务预测摘要.jpg,data/figure/fs/电子元件-景旺电子-汽车+AI构筑发展核心动力，聚焦高端助力盈利能力提升_page18_no_caption.jpg	4	根据景旺电子的资产负债表和利润表，2024年的流动负债总额是多少？	4832百万元	6547百万元	7316百万元	8923百万元	B
fs	4	data/figure/fs/电子元件-世华科技-电子复合材料国产替代领先企业，光电材料进入高速成长期_page2_财务预测与估值.jpg,data/figure/fs/电子元件-沪电股份-沪电股份：数据中心和汽车PCB双轮驱动_page25_.jpg,data/figure/fs/电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page26_附财务预测摘要.jpg,data/figure/fs/电子元件-景旺电子-汽车+AI构筑发展核心动力，聚焦高端助力盈利能力提升_page18_no_caption.jpg	5	根据上述四家公司2023年的流动负债总额，哪一家公司的流动负债总额最高？	沪电股份	成电光信	景旺电子	世华科技	A
fs	4	data/figure/fs/电子元件-世华科技-电子复合材料国产替代领先企业，光电材料进入高速成长期_page2_财务预测与估值.jpg,data/figure/fs/电子元件-沪电股份-沪电股份：数据中心和汽车PCB双轮驱动_page25_.jpg,data/figure/fs/电子元件-成电光信-北交所首次覆盖报告：网络总线+特种显示双轮驱动，布局民用飞行模拟器+TSN网络总线_page26_附财务预测摘要.jpg,data/figure/fs/电子元件-景旺电子-汽车+AI构筑发展核心动力，聚焦高端助力盈利能力提升_page18_no_caption.jpg	6	根据上述四家公司2023年的流动负债总额，哪一家公司的流动负债总额最低？	成电光信	景旺电子	世华科技	沪电股份	A
fs	5	data/figure/fs/生物制品-迈威生物-ADC核心管线进展积极，商业化稳步推进_page1_财务报表分析和预测.jpg,data/figure/fs/生物制品-智翔金泰-赛立奇单抗获批上市，在研管线稳步推进_page1_财务报表分析和预测.jpg,data/figure/fs/生物制品-毕得医药-收入平稳增长，海外业务有望持续发力_page3_图表5毕得医药财务模型预测.jpg,data/figure/fs/生物制品-特宝生物-派格宾保持快速增长，新产品珮金贡献增量_page1_附表财务预测与估值.jpg,data/figure/fs/生物制品-西藏药业-公司事件点评报告：新活素医保降价温和，长期有望保持稳健增长_page2_公司盈利预测百万元.jpg	1	根据现金流量表，2023年的经营活动现金流净额是多少？	-783亿元	-622亿元	-738亿元	-846亿元	A
fs	5	data/figure/fs/生物制品-迈威生物-ADC核心管线进展积极，商业化稳步推进_page1_财务报表分析和预测.jpg,data/figure/fs/生物制品-智翔金泰-赛立奇单抗获批上市，在研管线稳步推进_page1_财务报表分析和预测.jpg,data/figure/fs/生物制品-毕得医药-收入平稳增长，海外业务有望持续发力_page3_图表5毕得医药财务模型预测.jpg,data/figure/fs/生物制品-特宝生物-派格宾保持快速增长，新产品珮金贡献增量_page1_附表财务预测与估值.jpg,data/figure/fs/生物制品-西藏药业-公司事件点评报告：新活素医保降价温和，长期有望保持稳健增长_page2_公司盈利预测百万元.jpg	2	根据资产负债表，2023年的流动资产总额是多少？	2,048亿元	2,415亿元	2,407亿元	2,455亿元	A
fs	5	data/figure/fs/生物制品-迈威生物-ADC核心管线进展积极，商业化稳步推进_page1_财务报表分析和预测.jpg,data/figure/fs/生物制品-智翔金泰-赛立奇单抗获批上市，在研管线稳步推进_page1_财务报表分析和预测.jpg,data/figure/fs/生物制品-毕得医药-收入平稳增长，海外业务有望持续发力_page3_图表5毕得医药财务模型预测.jpg,data/figure/fs/生物制品-特宝生物-派格宾保持快速增长，新产品珮金贡献增量_page1_附表财务预测与估值.jpg,data/figure/fs/生物制品-西藏药业-公司事件点评报告：新活素医保降价温和，长期有望保持稳健增长_page2_公司盈利预测百万元.jpg	3	根据现金流量表，2023年的投资活动现金净流出是多少？	-510亿元	-110亿元	-114亿元	-140亿元	A
fs	6	data/figure/fs/中药-莱茵生物-24前三季度归母净利润预计延续高增长，看好产能释放提升盈利能力_page1_财务预测摘要.jpg,data/figure/fs/中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page14_.jpg,data/figure/fs/中药-天士力-公司信息更新报告：2024H1业绩表现相对平稳，管线创新稳健推进_page1_附财务预测摘要.jpg,data/figure/fs/中药-方盛制药-中药创新药产品稳步放量，养血祛风止痛颗粒提交上市申请_page2_no_caption.jpg	1	根据资产负债表和利润表，哪家公司2023年的营业利润最高？	莱茵生物	贵州三力	天士力	方盛制药	C
fs	6	data/figure/fs/中药-莱茵生物-24前三季度归母净利润预计延续高增长，看好产能释放提升盈利能力_page1_财务预测摘要.jpg,data/figure/fs/中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page14_.jpg,data/figure/fs/中药-天士力-公司信息更新报告：2024H1业绩表现相对平稳，管线创新稳健推进_page1_附财务预测摘要.jpg,data/figure/fs/中药-方盛制药-中药创新药产品稳步放量，养血祛风止痛颗粒提交上市申请_page2_no_caption.jpg	2	哪家公司2023年的营业利润占营业收入的比例最高？	莱茵生物	贵州三力	天士力	方盛制药	B
fs	6	data/figure/fs/中药-莱茵生物-24前三季度归母净利润预计延续高增长，看好产能释放提升盈利能力_page1_财务预测摘要.jpg,data/figure/fs/中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page14_.jpg,data/figure/fs/中药-天士力-公司信息更新报告：2024H1业绩表现相对平稳，管线创新稳健推进_page1_附财务预测摘要.jpg,data/figure/fs/中药-方盛制药-中药创新药产品稳步放量，养血祛风止痛颗粒提交上市申请_page2_no_caption.jpg	3	哪家公司2023年的净利润率最低？	莱茵生物	贵州三力	天士力	方盛制药	A
fs	6	data/figure/fs/中药-莱茵生物-24前三季度归母净利润预计延续高增长，看好产能释放提升盈利能力_page1_财务预测摘要.jpg,data/figure/fs/中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page14_.jpg,data/figure/fs/中药-天士力-公司信息更新报告：2024H1业绩表现相对平稳，管线创新稳健推进_page1_附财务预测摘要.jpg,data/figure/fs/中药-方盛制药-中药创新药产品稳步放量，养血祛风止痛颗粒提交上市申请_page2_no_caption.jpg	4	哪家公司2023年的ROE（净资产收益率）最高？	莱茵生物	贵州三力	天士力	方盛制药	B
fs	6	data/figure/fs/中药-莱茵生物-24前三季度归母净利润预计延续高增长，看好产能释放提升盈利能力_page1_财务预测摘要.jpg,data/figure/fs/中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page14_.jpg,data/figure/fs/中药-天士力-公司信息更新报告：2024H1业绩表现相对平稳，管线创新稳健推进_page1_附财务预测摘要.jpg,data/figure/fs/中药-方盛制药-中药创新药产品稳步放量，养血祛风止痛颗粒提交上市申请_page2_no_caption.jpg	5	哪家公司2023年的资产周转率最高？	莱茵生物	贵州三力	天士力	方盛制药	B
