type	index	image_path	md_path	question	A	B	C	D	answer
sdt	1	data/figure/sdt/2024-09-24--光伏设备-迈为股份-HJT整线设备龙头受益于行业规模扩产在即，泛半导体领域加速布局_page54_表19国内CellModule制程激光设备每年的市场空间在25亿元左右.jpg	data/markdown/2024-09-24--光伏设备-迈为股份-HJT整线设备龙头受益于行业规模扩产在即，泛半导体领域加速布局_page54_表19国内CellModule制程激光设备每年的市场空间在25亿元左右.md	2025年预计国内Module制程激光设备市场空间占整体激光设备市场的比重是多少？	0.05	0.1	0.15	0.2	A
sdt	2	data/figure/sdt/2024-09-22--航运港口-中远海能-全球油气航运龙头，油运上行凸显价值_page18_图表38中远海能估值模型核心假设.jpg	data/markdown/2024-09-22--航运港口-中远海能-全球油气航运龙头，油运上行凸显价值_page18_图表38中远海能估值模型核心假设.md	2025年LNG运输业务的营业收入预计为18.58亿元，相比2024年的增长率是多少？	0.01	0.1363	0.0119	0.2818	C
sdt	3	data/figure/sdt/2024-09-18--电子化学品-安集科技-业绩稳健增长，先进制程产品持续上量_page1_图表1公司2024年上半年财务报告摘要.jpg	data/markdown/2024-09-18--电子化学品-安集科技-业绩稳健增长，先进制程产品持续上量_page1_图表1公司2024年上半年财务报告摘要.md	如果2024年上半年的管理费用占总成本的比例与2023年上半年相同，那么2024年上半年的管理费用应该是多少百万元？	50.35	30.83	40.09	60	C
sdt	4	data/figure/sdt/2024-09-18--电子化学品-安集科技-业绩稳健增长，先进制程产品持续上量_page1_图表2公司2024年第二季度财务报告摘要.jpg	data/markdown/2024-09-18--电子化学品-安集科技-业绩稳健增长，先进制程产品持续上量_page1_图表2公司2024年第二季度财务报告摘要.md	根据2024年第二季度的财务报告，如果营业总收入增长37.06%，那么2023年第二季度的营业总收入是多少？	232.57百万元	305.57百万元	378.82百万元	418.82百万元	B
sdt	5	data/figure/sdt/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page30_表24可比公司2024年PE均值为170X.jpg	data/markdown/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page30_表24可比公司2024年PE均值为170X.md	根据表格数据，万华化学在2024年的EPS预计为5.88元/股，其PE为12.0，请计算万华化学的股价。	70.56元	69.36元	70.96元	71.76元	A
sdt	6	data/figure/sdt/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page6_表2按照细分产品来看CPUTPU聚醚组合聚醚产品为公司收入主要来源.jpg	data/markdown/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page6_表2按照细分产品来看CPUTPU聚醚组合聚醚产品为公司收入主要来源.md	根据表格数据，2021年度聚酯、聚醚及组合聚醚的总收入是多少万元？	295887.58	139462.98	178288.99	112445.48	A
sdt	7	data/figure/sdt/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page17_表132023年聚氨酯上游原材料大幅扩产.jpg	data/markdown/2024-09-17--化学制品-一诺威-北交所公司深度报告：聚氨酯CPU全国单项冠军，技术+产业链共建竞争优势_page17_表132023年聚氨酯上游原材料大幅扩产.md	根据表格数据，环氧丙烷的产能增速为40.44%，产量增速为11.49%，进口量增速为15.06%，出口量增速为-57.63%。请问环氧丙烷的出口量增速与进口量增速之差是多少？	-0.7269	-0.4257	-0.7263	-0.4259	A
sdt	8	data/figure/sdt/2024-09-17--中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page6_图表82023年上半年中国城市实体药店终端儿科中成药TOP10.jpg	data/markdown/2024-09-17--中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page6_图表82023年上半年中国城市实体药店终端儿科中成药TOP10.md	根据图表，以下哪种产品在儿科感冒用药类别中排名最高？	小儿鼓翘清热颗粒	小儿肺热咳喘颗粒	开喉剑喷雾剂(儿童型)	小儿柴桂退热颗粒	A
sdt	9	data/figure/sdt/2024-09-17--中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page3_图表2公司主要产品.jpg	data/markdown/2024-09-17--中药-贵州三力-立足开喉剑，内生与外延双轮驱动_page3_图表2公司主要产品.md	根据图表信息，哪种药品的治疗领域是补气补血用药且未被列入国家基药目录？	芪胶升白胶囊	黄芪颗粒	妇科再造丸	止咳化痰丸	A
sdt	10	data/figure/sdt/2024-09-15--银行-民生银行-利润拐点初显，息差有望企稳_page2_表124H1202323H1各项利息收入支出情况.jpg	data/markdown/2024-09-15--银行-民生银行-利润拐点初显，息差有望企稳_page2_表124H1202323H1各项利息收入支出情况.md	根据2023年的数据，如果民生银行的生息资产总计为1000亿元，其利息收入是多少？	69.8亿元	43.2亿元	38亿元	36.4亿元	D
