type	index	image	question	background_story	A	B	C	D	answer
lc	1	data/figure/lc/2023-06-24--国金证券-见微知著系列之五十五：基建落地“新”变化？_page15_图表59上周一线城市二手房成交面积提升.jpg	哪一年的二手房成交面积在12月达到峰值？	9月18日，国金证券发布房地产行业研究。本周A股地产、港股地产及物业板块均有所下跌。本周（9.9-9.15）本周申万A股房地产板块涨跌幅为-1.6%，在各板块中位列第21；WIND港股房地产板块涨跌幅为-3.1%，在各板块中位列第24。本周恒生物业服务及管理指数涨跌幅为-4.4%，恒生中国企业指数涨跌幅为-0.1%，沪深300指数涨跌幅为-0.8%；物业指数对恒生中国企业指数和沪深300的相对收益分别为-4.4%和-3.6%。 本周新房销售环比上升，同比略降，月初实际成交逐渐进入备案阶段。本周（9.9-9.15）35个城市商品房成交合计281万平米，周环比+9%，周同比-1%。其中：一线城市周环比+9%，周同比-29%；二线城市周环比+9%，周同比+18%；三四线城市周环比+2%，周同比-39%。　　本周二手房成交同环比均上升，月初实际成交逐渐进入备案阶段。本周（9.9-9.15）15个城市二手房成交合计160万平米，周环比+7%，周同比+65%。其中：一线城市周环比+18%，周同比+37%；二线城市周环比+3%，周同比+82%；三四线城市周环比+15%，周同比+13%。	2019	2020	2021	2022	C
lc	2	data/figure/lc/2024-06-24--光大期货-宏观周报：投资行业需求延续偏弱表现_page6_图表全国水泥磨机运转率横坐标为春节后第n周单位.jpg	哪一年的水泥磨机运转率最低？	"实体经济方面，水泥方面，多数区域都处于需求下降，磨机开工降低状态，华东多数省份重污染天气结束，需求有阶段性反弹出现，带动磨机开工有短暂恢复；螺纹库存小幅下降，表需明显回落；沥青出货量回落。消费方面，临近节日，一线和主要二线城市地铁客运量、拥堵延时指数稳中有降，航班执行数平稳。
宏观数据方面，中国12月官方制造业PMI 50.1，比上月回落0.2个百分点，预期50.3。非制造业PMI 52.2，比上月回升2.2个百分点，持续位于扩张区间；综合PMI 52.2，前值50.8。在构成制造业PMI的5个分类指数有升有降。生产指数为52.1，比上月下降0.3个百分点，新订单指数为51.0，比上月上升0.2个百分点。部分重点行业保持扩张。从重点行业看，在消费品以旧换新政策以及传统节日临近等因素的带动下，相关行业扩张步伐有所加快，消费品行业PMI为51.4，比上月上升0.6个百分点。
12月非制造业商务活动指数为52.2，比上月上升2.2个百分点，非制造业景气水平明显提高。服务业商务活动指数为52.0，比上月上升1.9个百分点，为4月份以来高点，服务业扩张步伐加快。建筑业重回扩张。受春节假期临近等因素影响，部分企业抢抓施工进度，建筑业商务活动指数为53.2，比上月上升3.5个百分点。从市场需求看，新订单指数为51.4，今年以来首次升至扩张区间，建筑业企业新签订合同量有所增加。展望2025年，中央经济工作会议定调 “扩大内需”，基建和房地产仍是重要抓手，建筑行业有望保持高景气度。基建项目上，由中央政府负责主要支出建设责任的铁路、水运、水利建设强度将会继续偏强；房地产投资依靠重点项目的发力，明年的重点是城中村和危旧房改造。"	2020	2021	2022	2024	D
lc	3	data/figure/lc/2024-01-21--东海证券-宏观周报：降息仍有必要_page9_图21国内国际航班执飞架次.jpg	国际航班执行架次在哪个月份首次超过8000架次？	"财联社8月19日讯，美国运输部当地时间18日表示，中美将各自允许其国内航空公司将两国间的航班数量增加一倍，增至每周8班。美国交通部已表示，政府仍希望中方根据双边航空协议同意全面复飞美国航班。
海外交通业的重启已开始，据国盛证券统计，海外商业航班缓慢恢复，维持在近7成。交通拥堵指数也显示分化，欧洲降至去年的5成以下，美国升至4成左右。上周，中国放松对欧洲36个国家的入境限制。随着复工复产和五个一政策松动，兴业证券观点认为后续国际航线有望加速恢复。
在国内，昨日，民航业又有一波“随心飞”产品消息刷屏，8月18日10时，吉祥航空在官方APP正式开售2888元的吉祥畅飞卡。同日东航“周末随心飞”产品开展感恩返场活动，价格仍然维持在上次首发的3322元，还添加了“早晚随心飞”产品。两个月以来，从东航、海航、南航到春秋航空、吉祥航空等，目前已经有超过10家航司推出了“随心飞”产品。东海证券评论，由于疫情控制得当，中国第二季度经济增长由负转正，将带动内地航空需求持续改善。目前正值暑假旺季，叠加各航空“随心飞”项目刺激，航空板块有望迎来估值修复。
民航业正在持续复苏，7月，民航行业客运量3910万人次，同比下降34.1%，降幅较6月收窄8.4个百分点，日均客流达到126万人，环比6月增长约23%。上周，民航总旅客量达985万人次，环比提升了7.87%。"	2023年4月	2023年6月	2023年8月	2023年10月	B
lc	4	data/figure/lc/2024-03-26--国信证券-货币政策与流动性观察：资金利率温和回升_page11_图29主要货币指数走势.jpg	图中哪个货币指数在2022年波动最大？	美联储主席鲍威尔在JacksonHole会议暗示9月美联储有望开启降息。联邦资金利率期货隐含9月美联储FOMC降息25bp的可能性为63.5%，降息50bp的可能性为36.5%。国内流动性方面，随着税期和政府债券缴款压力度过，央行上周大幅净回笼流动性，因此资金面均衡偏紧。尽管上周隔夜和7天资金利率中枢较前一周回落，但从上周全周的资金走势看，总体“前低后高”，反映周中流动性压力有所上升。国信货币政策力度指数较前一周（8月12日-8月18日）下降0.1，位于101.42。其中价格指标上升贡献-95.6%，数量指标下降贡献195.6%。价格指数上升（宽松）主要由上周全周标准化后R加权利率偏离度、DR加权利率偏离度（相较同期限OMO）以及R001累。数量上，央行上周公开市场操作对数量指标形成拖累。央行公开市场操作：上周（8月19日-8月25日），央行净投放流动性-3471.0亿元。其中：7天逆回购净投放-3471.0亿元（到期15449.0亿元，投放11978.0亿元），14天逆回购净投放0亿元（到期0亿元，投放0亿元）。本周（8月26日-9月1日），央行逆回购将到期11978.0亿元，其中7天逆回购到期11978.0亿元，14天逆回购到期0亿元。截至本周一（8月5日）央行7天逆回购净投放4189亿元，14天逆回购净投放0亿元，MLF净投放3000亿元（到期0亿元，投放3000亿元），OMO存量为16167亿元。银行间交易量：银行间市场质押回购平均日均成交6.21万亿，较前一周（8月5日-8月11日）减少1.06万亿。隔夜回购占比为87.1%，较前一周（89.3%）下降2.2pct。债券发行：上周政府债净融资2903.1亿元，本周计划发行7633.5亿元，净融资额预计为2620.0亿元；上周同业存单净融资332.9亿元，本周计划发行1953.3亿元，净融资额预计为-2540.2亿元；上周政策银行债净融资1340.0亿元，本周计划发行120.0亿元，净融资额预计为80.0亿元；上周商业银行次级债券净融资-864.5亿元，本周计划发行1221.0亿元，净融资额预计为899.5亿元；上周企业债券净融资-25.1亿元（其中城投债融资贡献约922.98%），本周计划发行1770.3亿元，净融资额预计为-1445.1亿元。月16日）下行0.50至97.89，同期美元指数下行1.72，位于101.37。8月22日，美元兑人民币在岸汇率较8月16日基本稳定，位于7.14；离岸汇率位于7.13。风险提示：海外市场波动，海外经济进入衰退	人民币指数	美元指数	欧元指数	日元指数	C
lc	5	data/figure/lc/2023-06-06--浦银国际证券-2023年中期宏观经济展望：美国渐入衰退，中国复苏再起_page37_no_caption.jpg	图中哪条曲线在2023年Q1的增长率最高？	"1. 宏观经济
- 中国经济：政策支持将加码，内需或显著改善，但净出口可能拖累经济增速至4.5%。财政政策方面，赤字率或升至3.5%-4.0%，专项债额度增加，货币政策将继续宽松，房地产政策持续升级。
- 美国经济：预计软着陆，全年实际GDP增速降至1.5%，政策利率降至3.0%。通胀方面，核心通胀有望温和下行。
2. 投资策略
- 中国市场：市场或由政策驱动转为基本面驱动，结构性行情下，看好电信服务、可选消费和医疗健康行业，关注央国企高息股、出海和新质生产力等投资主题。
- 美股市场：若美国经济保持韧性，美股向好趋势不变，盈利成核心驱动力，看好金融和工业等周期性行业，聚焦人工智能和中小盘股。
3. 行业展望
- 消费行业：扩大内需是经济增长主要驱动力，政府将推政策增强消费者信心。内需驱动型消费企业、可选消费企业、出海驱动型企业和高股息企业有望受市场关注。
- 互联网行业：中国互联网投资机会主要来自政策驱动的估值修复，美国互联网依赖AI业绩驱动。行业存在结构性机会，中美互联网持续分化。
- 科技行业：生成式AI推动科技行业发展，带来算力芯片需求爆发，带动消费电子出货量和高端需求增长，推动晶圆代工和功率半导体周期上行。
- 医药行业：行业基本面有望提升，创新药、创新高值耗材前景乐观，CXO或有短期反弹机会。
- 新能源汽车行业：中国新能源乘用车销量将增长，渗透率加速上扬，车企海外扩张和智能布局持续加速。"	平均每小时薪资同比	雇佣成本指数同比	亚特兰大联储薪资增长指数	所有曲线增长率相同	C
lc	6	data/figure/lc/2023-11-02--国联证券-美联储11月议息会议点评：利率终点或隐约可见_page11_图表17疫情后同比新增非农就业万人.jpg	哪个时间段内，新增非农就业人数下降趋势最为明显？	"在全球资本市场波动之际，国联证券(01456)近期却展现出令人瞩目的行情。1月23日，该公司股价盘中涨幅达到5.36%，截至09:40报4.13元/股，成交量达到981.36万元，吸引了市场的高度关注。这一涨幅不仅反映了国联证券在当前环境中的强大韧性，也为股民和投资者带来了新的投资机会。
国联证券股份有限公司作为一家国有控股的综合性券商，已在财富管理、投资银行及资产管理等多个领域逐步扩大其市场影响力。它在江苏、上海、北京、浙江、广东等多个省市设立的分支机构，显著提升了其服务覆盖范围和市场竞争力。
财报潜力与净资本收益
截至2024年三季度的业绩报告显示，国联证券的营业总收入达20.05亿元，净利润为3.96亿元。这一数据不仅展示了公司的营收能力，而且说明其在净资本收益率和成本管理方面具有显著优势。在经济波动的情况下，公司能否保持这样的增长势头值得期待。
分析师指出，国联证券的成功不仅仅源于其多元化的业务布局，更在于公司敏捷的市场应变能力。随着资本市场的不断发展，如何在竞争中站稳脚跟，成为了各大券商面临的挑战。国联证券在这方面显然表现出了不俗的能力。
行业趋势与市场环境
当下证券行业面临诸多挑战，包括全球经济的不确定性、资本市场的波动以及政策的频繁变动。尤其是在美联储加息及其他主要经济体的货币政策收紧情况下，券商的市场表现受到明显影响。然而，在这个风云变幻的市场环境中，国联证券通过专业的投资策略和科学的风险管理，成功逆势而上，证明了其抗压能力。
除了把握市场机遇，国联证券在业务创新方面也积极探索。随着科技的进步，金融科技的应用正在改变传统证券行业的面貌。公司通过提升数字化服务能力，提高客户的投资体验。这表明，面对新的竞争态势，只有不断创新，才能维持市场地位。"	2021/4/1 - 2022/4/1	2022/4/1 - 2023/4/1	2023/4/1 - 2024/4/1	2024/4/1 - 2025/4/1	A
lc	7	data/figure/lc/2023-07-31--中泰证券-高频数据观察：大宗商品价格上行_page6_图表16出口集装箱运价指数.jpg	CCFI综合指数在2022年的哪个季度开始显著下降？	"单纯从数字上看，没人会觉得GDP增速目标有那么重要，高一点低一点都可以，只要就业能解决。但这是非异常扰动情况下的表现，确实从历年新增就业数观察，无论GDP增速高一点低一点，新增就业都能够达到预定目标，完成任务。
但当前环境是受到了异常的冲击，而且主要矛盾已经开始切换，3月之前国内疫情正在发展，内需被“暂停”是主要矛盾，与之相对应的是，中国进口干散货运价指数（CDFI）大幅下挫，尤其是铁矿石、煤炭、粮食（大豆）等商品运价指数下跌明显，
而进入3月，伴随着国内疫情逐步得到控制，全球疫情快速演化，外需已经成为影响中国经济的主要矛盾，在近期高频数据上，中国出口集装箱运价指数（CCFI）出现了明显回落迹象，已经开始反映外部需求受到扰动。
对于全球经济的严峻性，个人觉得争议不大。例如美国持续申领失业金人数两周升幅已相当于2008年两个月。而根据3月30日公布的欧洲经济景气指数，环比表现已经录得40年以来的最大降幅，这都说明了全球经济形势的严峻性。
而当前外部冲击对于中国经济的影响，要较2008年国际金融危机更加迅速，危机向中国出口传导的时间正在被快速压缩。在这种情况下，加快复工复产，将损失尽可能控制在一季度，尽可能缩小损失，理应是当前政策的核心考量，在此背景下，内需政策发力也是必然选择。"	第一季度	第二季度	第三季度	第四季度	C
lc	8	data/figure/lc/2024-04-10--华泰期货-宏观大类日报：聚焦美国3月CPI_page4_图12国有银行同业存单利率丨单位.jpg	在哪个时间段，6个月期和1年期利率的差距最大？	上周美联储紧缩预期上升、国内地产预期下修、美国经济衰退预期、美元指数走强等多项重要因素叠加对全球风险资产造成了明显冲击。展望后期来看，一、后续美联储紧缩预期利空有限，首先是上周亚特兰大联储主席、圣路易斯联储主席等多位联储官员明确反对加息100bp，叠加美国7月密歇根大学消费者信心指数中的消费者长期通胀预期由6月份的3.1％降至2.8％，结合10Y美债利率维持在3％以下来看，7月加息75bp计价完全打满，下次会议将于9月21日公布决议，后续来自紧缩预期的利空有限。二、国内地产预期仍需继续观察，截至7月16日最新消息来看，多个涉及停贷楼盘项目复工，7月15日恒大地产珠三角公司宣布，全力全速推动复工复产工作，绿地集团、郑州名门、广州澳元、深圳佳兆业等多家公司均有做出回应。但具体到地产销售预期，一方面要看高频的销售数据变动情况，另一方面也可以跟踪各地政府是否有新的“保交楼”政策出台。三、美国经济衰退预期并未有继续下行的支撑。从10Y-2Y和10Y-3M美债利率来看，市场衰退定价尚未有缓解的迹象。但在就业市场韧性的支持下，美国6月零售销售也表现出一定韧性，经济数据层面并未提供新的支撑。四、美元指数尚未有走弱迹象。目前欧洲经济下行压力大于美国，欧洲央行紧缩步伐也慢于美国，要看到美元指数转弱可能要看到美国本身支撑因素转弱，如美联储紧缩计价下行、美债利率下行等。总体而言，目前美联储紧缩预期、美元指数走强等利空因素有所缓解，而国内地产预期以及美国经济衰退预期仍需继续跟踪。短期对于整体商品和A股仍维持中性。	2019年Q1-Q2	2020年Q3-Q4	2021年Q1-Q2	2022年Q3-Q4	C
lc	9	data/figure/lc/2023-02-02--中信期货-基建实物工作量高频数据跟踪_page5_no_caption.jpg	水利投资累计同比在哪一年达到峰值？	国家水网顶层设计推动水利建设提速。顶层设计2023年5月中共中央、国务院印发《国家水网建设规划纲要》，明确了国家水网总体布局和重点任务，未来十年将有一大批水利重点工程陆续落实。2022年，我国完成水利投资首次突破万亿，2023年在高基数下水利完成投资达到11996亿元，同比增长10.1%。今年以来，全国水利项目建设热度继续高涨，全年拟实施水利项目3.4万个，同比增长22.5%。从资金层面看，2023年全年落实水利建设投资中，地方政府专项债券、金融信贷、社会资本占44.5%，较“十三五”年均提高22.5个百分点，水利投资资金来源更加多元化，去年四季度增发的万亿国债有5700亿元用于水利建设，落实到水利领域有7800多个项目，今年开始我国将连续几年发行超长期特别国债，用于国家重大战略实施和重点领域。从微观层面看，建筑央企紧跟国家政策导向，新签水利建设订单快速增长，中国建筑/中国电建/中国铁建2023年新签水利建设订单分别同比增长230%/70%/87%。	2019	2020	2021	2022	D
lc	10	data/figure/lc/2023-04-20--北京大学经济研究所-经济分化明显，总体企稳回升_page9_图21中国主要商品进口同比增速.jpg	在哪个时间段，原油进口数量累计同比增速首次出现负值？	华经产业研究院数据显示：2024年1-11月中国原油进口数量为50559万吨，相比上年同期减少了1006万吨，同比下降1.9%；进口金额为29934132.2万美元，相比上年同期减少了862762.4万美元，同比下降2.9%。2024年11月中国原油进口数量为4852万吨；进口金额为2627508.2万美元。2024年1-11月中国原油进口均价为592.06美元/吨，2023年1-11月原油进口均价为597.24美元/吨。2024年11月中国原油进口均价为541.53美元/吨。2024年11月中国原油进口数量为4852万吨，相比上年同期增长了607万吨，同比增长14.4%；进口金额为2627508.2万美元，相比上年同期减少了128323.2万美元，同比下降4.6%；进口均价为541.53美元/吨。	2018-04	2019-07	2020-05	2021-03	B
