type	index	image	background_story	question	A	B	C	D	answer
3.1	1	data/figure/31/2024-02-07--化学制品-硅宝科技-公司公告点评：2023年公司归母净利润同比增长25.9%_page3_财务报表分析和预测.jpg,data/figure/31/2023-11-19--软件开发-佳缘科技-航天数据安全稀缺标的，卫星景气打开成长空间_page3_财务报表预测和估值数据汇总.jpg,data/figure/31/2024-02-06--电池-中伟股份-推动“质量回报双提升”，助力公司一体化布局_page1_中伟股份三大财务预测表.jpg,data/figure/31/2024-03-12--家电行业-海信视像-海信视像24年员工持股计划点评：激励落地，重在长期_page2_财务报表与盈利预测.jpg,data/figure/31/2024-07-08--半导体-澜起科技-2024年中报预告点评：收入利润高增，AI运力芯片快速放量_page1_公司财务报表数据预测汇总.jpg,data/figure/31/2023-11-30--有色金属-西部超导-西部超导事件点评：三大领域技术持续突破，股份增持彰显发展信心_page4_财务预测表.jpg,data/figure/31/2023-12-27--化纤行业-新凤鸣-凤鸣长新，龙头精进_page22_一公司财务预测表.jpg,data/figure/31/2024-08-21--通用设备-创世纪-2024年中报业绩点评：拐点已至，Q2业绩同比转正_page2_公司财务预测表.jpg,data/figure/31/2024-04-17--酿酒行业-燕京啤酒-2023年报点评：U8增速亮眼，改革红利持续_page2_财务报表分析和预测.jpg,data/figure/31/2024-07-02--物流行业-京沪高铁-客运业务挖掘潜力，路网服务贡献成长_page19_财务预测摘要.jpg		2023 年与 2024E 年相比，每股收益的差值是多少？	0.11	0.15	0.17	0.20	A
3.1	2	data/figure/31/2024-06-03--光学光电子-路维光电-拟收购成都路维部分股权，进一步提升整体管理效率_page1_no_caption.jpg,data/figure/31/2024-07-02--物流行业-京沪高铁-客运业务挖掘潜力，路网服务贡献成长_page19_财务预测摘要.jpg,data/figure/31/2024-04-25--家电行业-亿田智能-2023年报点评：直营收入增长较快，业绩有所承压_page3_财务预测与估值.jpg,data/figure/31/2024-04-21--化学制药-恒瑞医药-创新药驱动收入增长，2024年迎来产品上市高峰_page1_no_caption.jpg,data/figure/31/2024-01-22--房地产开发-保利发展-公司信息更新报告：结算业绩承压，分红比例提升_page1_附财务预测摘要.jpg,data/figure/31/2024-04-28--有色金属-华峰铝业-2023年年报及2024年一季报点评：乘新能源行业东风，龙头客户与规模优势形成良性循环_page1_公司财务报表数据预测汇总.jpg,data/figure/31/2024-02-01--食品饮料-中炬高新-2023年业绩预告点评：费用前置拖累23年业绩，24年有望轻装上阵_page1_中炬高新三大财务预测表.jpg,data/figure/31/2024-08-16--美容护理-润本股份-2024年半年报点评：产品结构变化带动盈利能力提升，持续推进有质量增长_page1_公司财务报表数据预测汇总.jpg,data/figure/31/2023-11-23--环保行业-钱江生化-三大业务一体化发展，打造城镇综合环境服务商_page9_一公司财务预测表.jpg,data/figure/31/2024-04-18--汽车零部件-浙江仙通-公司点评报告：业绩符合预期，新项目持续开拓_page1_财务预测表.jpg		2023 年与 2024E 年相比，应收账款的差值是多少？	-0.21 亿元	0.21 亿元	-0.22 亿元	0.22 亿元	B
3.1	3	data/figure/31/2024-08-18--银行-江苏银行-详解江苏银行2024年半年报：业绩持续性强；资产质量稳健；消金稳步发力_page15_图表20江苏银行盈利预测表.jpg,data/figure/31/2023-11-26--生物制品-智飞生物-行稳致远，疫苗龙头开启新征程_page2_no_caption.jpg,data/figure/31/2024-05-16--物流行业-中创物流-集运业务边际改善，海外物流成长可期_page3_财务预测摘要.jpg,data/figure/31/2024-07-04--专用设备-雷赛智能-2024年半年报预告点评：业绩超市场预期，报表加速修复体现变革成效_page1_雷赛智能三大财务预测表.jpg,data/figure/31/2024-03-24--中药-华润三九-融合昆药业务，业绩快速增长_page1_no_caption.jpg,data/figure/31/2024-07-25--工程机械-浙江鼎力-穿越周期持续增长，无惧“双反”进击海外_page21_财务预测摘要.jpg,data/figure/31/2023-12-15--软件开发-中控技术-纵向拓品类，横向拓行业，智能制造平台级巨轮驶向世界_page26_no_caption.jpg,data/figure/31/2024-05-23--电网设备-金盘科技-2024Q1盈利能力保持稳定，海外营收占比快速提升_page2_表2财务数据.jpg,data/figure/31/2024-03-29--汽车零部件-伯特利-23年业绩高增长，品类扩张打开长期发展空间_page1_财务预测摘要.jpg,data/figure/31/2024-04-15--软件开发-国能日新-业绩保持稳步增长，电网侧收入高速增长，创新业务突破_page2_一公司财务预测表.jpg		根据预测，江苏银行2025E的净息差与2023A相比下降了多少百分点？	0.29%	0.31%	0.33%	0.35%	A
3.1	4	data/figure/31/2023-12-26--化学制品-江南化工-首次覆盖：民爆+新能源双轮驱动，集团民爆资产有望注入_page3_财务报表分析和预测.jpg		2025E 年的每股收益（元）是多少？	0.30	0.35	0.41	0.50	C
3.1	5	data/figure/31/2023-11-24--银行-成都银行-成都银行2023年三季报点评：不良降关注稳，存款增速提升_page3_财务报表分析和预测.jpg,data/figure/31/2023-12-27--化纤行业-新凤鸣-凤鸣长新，龙头精进_page22_一公司财务预测表.jpg,data/figure/31/2024-01-03--电网设备-球冠电缆-北交所首次覆盖报告：电线电缆“小巨人”，装备技改、高压领域布局赋能“两网”业务_page23_附财务预测摘要.jpg,data/figure/31/2024-07-24--汽车零部件-拓普集团-订单释放叠加降本增效，二季度业绩超预期_page1_no_caption.jpg,data/figure/31/2024-01-02--电子化学品-鼎龙股份-加速KrFArF产业化布局，完善半导体材料矩阵_page2_财务报表预测和估值数据汇总.jpg,data/figure/31/2023-12-11--食品饮料-乖宝宠物-2023年三季报点评：业绩稳步增长，“双十一”再创佳绩_page3_财务报表预测和估值数据汇总.jpg,data/figure/31/2024-08-28--通用设备-崇德科技-业绩稳增长，船舶和石化表现亮眼_page2_no_caption.jpg,data/figure/31/2024-07-07--计算机设备-纳睿雷达-公告点评：发布Ku波段双极化有源相控阵雷达，看好低空经济领域拓展加速_page2_附表纳睿雷达盈利预测表.jpg,data/figure/31/2024-07-02--物流行业-京沪高铁-客运业务挖掘潜力，路网服务贡献成长_page19_财务预测摘要.jpg,data/figure/31/2024-01-19--装修建材-鲁阳节能-发布股票激励计划，提振长期发展信心_page2_图表3公司财务指标.jpg		根据预测，2024E年和2025E年的每股收益（EPS）相比，差值是多少？	0.36元	0.48元	0.60元	0.72元	B
3.1	6	data/figure/31/2024-04-23--家电行业-长虹美菱-2024年一季报点评：收入增速环比提升，盈利能力保持稳健_page1_附表财务预测与估值.jpg,data/figure/31/2024-03-21--美容护理-爱美客-溶液产品高增，再生产品放量，净利率保持高位_page2_财务报表和主要财务比率.jpg,data/figure/31/2024-08-23--银行-兴业银行-详解兴业银行2024半年报：净息差保持稳定，净利润增速实现由负转正_page9_图表13兴业银行盈利预测表.jpg,data/figure/31/2024-01-05--中药-济川药业-核心品种优势突出，BD注入增长新动能_page2_财务报表预测和估值数据汇总.jpg,data/figure/31/2024-03-17--食品饮料-欧福蛋业-国内蛋液行业第一品牌，发力预制品开拓增长空间_page19_附表财务预测与估值.jpg,data/figure/31/2024-04-21--汽车零部件-多利科技-行业景气叠加一体化压铸的持续推进，公司业绩预期向好_page4_财务报表预测和估值数据汇总.jpg,data/figure/31/2024-05-13--医药商业-大参林-业绩短期承压，门店快速扩张_page2_财务报表与盈利预测.jpg,data/figure/31/2023-11-28--通信设备-海能达-公司首次覆盖报告：“2+3+1”战略成效初现，多业务协同重回增长正轨_page27_财务预测表.jpg,data/figure/31/2024-04-03--酿酒行业-贵州茅台-贵州茅台23年报点评：增长势能足冲刺十四五_page2_no_caption.jpg,data/figure/31/2024-06-04--通用设备-联德股份-深耕精密铸造，出海驱动高增长_page22_财务报表和主要财务比率.jpg		2026E 年的总资产周转率是多少？	0.46	0.53	0.59	0.64	D
3.1	7	data/figure/31/2024-08-08--食品饮料-安琪酵母-海外延续高增，盈利逐步修复_page1_no_caption.jpg,data/figure/31/2023-12-05--光学光电子-艾比森-扩产投建研发设立营业网点三箭齐发，提升公司软硬综合竞争力_page4_财务报表预测和估值数据汇总.jpg,data/figure/31/2024-03-18--通用设备-中集集团-全球集装箱龙头，集装箱需求回暖共振海工复苏_page31_公司财务报表数据预测汇总.jpg,data/figure/31/2024-06-04--通用设备-联德股份-深耕精密铸造，出海驱动高增长_page22_财务报表和主要财务比率.jpg,data/figure/31/2024-07-25--工程机械-浙江鼎力-穿越周期持续增长，无惧“双反”进击海外_page21_财务预测摘要.jpg,data/figure/31/2024-07-09--船舶制造-中国船舶-民船量价齐升，上半年利润高增_page1_no_caption.jpg,data/figure/31/2024-05-29--汽车零部件-凌云股份-Q1业绩超预期，机器人引领长期成长_page8_no_caption.jpg,data/figure/31/2024-07-15--通信设备-中际旭创-光模块需求强劲，业绩持续高增_page1_no_caption.jpg,data/figure/31/2024-08-01--工程机械-柳工-电动化小微挖引领工程机械电动化浪潮_page1_柳工三大财务预测表.jpg,data/figure/31/2024-03-03--化纤行业-东方盛虹-点评报告：质量回报双提升，“1+N”一体化发展未来可期_page2_附表东方盛虹盈利预测表.jpg		根据预测，2025E年的每股收益（EPS）是多少？	0.86	1.09	1.35	1.41	B
3.1	8	data/figure/31/2024-05-28--化纤行业-荣盛石化-公司年报点评：2Q23以来扭亏，推进国内外战略布局_page4_财务报表分析和预测.jpg,data/figure/31/2024-02-05--钢铁行业-东方铁塔-老挝钾矿再下一城，钾肥业务持续成长_page7_no_caption.jpg,data/figure/31/2024-07-04--专用设备-雷赛智能-2024年半年报预告点评：业绩超市场预期，报表加速修复体现变革成效_page1_雷赛智能三大财务预测表.jpg,data/figure/31/2024-07-15--化学制药-亿帆医药-Q2业绩符合预期，医药产品持续放量_page2_.jpg,data/figure/31/2024-04-17--酿酒行业-燕京啤酒-2023年报点评：U8增速亮眼，改革红利持续_page2_财务报表分析和预测.jpg,data/figure/31/2024-02-27--电力行业-中国广核-全国核电龙头，业绩持续增长的现金“牛”_page33_附表财务预测与估值.jpg,data/figure/31/2024-08-12--医疗器械-健帆生物-产品恢复高增长，盈利能力改善_page2_附表财务预测与估值.jpg,data/figure/31/2023-12-27--化纤行业-新凤鸣-凤鸣长新，龙头精进_page22_一公司财务预测表.jpg,data/figure/31/2024-02-28--软件开发-同花顺-2023年报点评：费用投入提升，期待AI应用贡献增量_page1_同花顺三大财务预测表.jpg,data/figure/31/2024-07-22--半导体-富创精密-24Q2营收或创季度新高，拟收购亦盛精密夯实平台型战略_page3_财务报表预测和估值数据汇总.jpg		2024E 年的固定资产合计比 2023 年增加了多少？	1,065 百万元	1,197 百万元	1,281 百万元	1,391 百万元	B
3.1	9	data/figure/31/2023-12-26--家电行业-盾安环境-发布长期激励计划，锚定高质量稳健发展_page1_no_caption.jpg,data/figure/31/2024-03-21--美容护理-爱美客-溶液产品高增，再生产品放量，净利率保持高位_page2_财务报表和主要财务比率.jpg,data/figure/31/2024-05-20--有色金属-兴业银锡-2023年报及2024一季报点评：复产+技改带动23年业绩大幅增长，量价齐升继续提振业绩释放_page1_图表1财务预测摘要.jpg,data/figure/31/2024-07-02--物流行业-京沪高铁-客运业务挖掘潜力，路网服务贡献成长_page19_财务预测摘要.jpg,data/figure/31/2024-02-02--非金属材料-索通发展-国内预焙阳极龙头，出海布局蓄势成长_page26_no_caption.jpg,data/figure/31/2024-01-25--橡胶制品-通用股份-业绩符合预期，海外双基地持续发力_page1_no_caption.jpg,data/figure/31/2023-11-16--半导体-南芯科技-公司简评报告：Q3收入环比持续高增，围绕客户平台布局优势凸显_page1_财务报表和主要财务比率.jpg,data/figure/31/2024-04-18--汽车零部件-浙江仙通-公司点评报告：业绩符合预期，新项目持续开拓_page1_财务预测表.jpg,data/figure/31/2024-04-09--装修建材-伟星新材-2023年年报点评：零售市占率提高3pct以上，ROE提升、分红加码_page1_公司财务报表数据预测汇总.jpg,data/figure/31/2024-01-16--美容护理-科思股份-2023年业绩预告点评：业绩持续高增，成长性凸显_page1_公司财务报表数据预测汇总.jpg		根据预测，2025E年的EBITDA为多少？	1,319 百万元	1,720 百万元	1,465 百万元	1,845 百万元	B
3.1	10	data/figure/31/2024-01-04--化纤行业-荣盛石化-拟收购沙特SASREF炼厂股权，金塘新材料布局加速_page1_财务预测摘要.jpg,data/figure/31/2024-08-08--食品饮料-安琪酵母-海外延续高增，盈利逐步修复_page1_no_caption.jpg,data/figure/31/2024-03-25--化学原料-宝丰能源-四季度环比持续修复，内蒙项目打开远期空间_page1_no_caption.jpg,data/figure/31/2024-03-24--中药-华润三九-融合昆药业务，业绩快速增长_page1_no_caption.jpg,data/figure/31/2024-01-02--电子化学品-鼎龙股份-加速KrFArF产业化布局，完善半导体材料矩阵_page2_财务报表预测和估值数据汇总.jpg,data/figure/31/2024-02-14--公用事业-联合水务-首次覆盖报告：乘“一带一路”东风，水务新秀扬帆起航_page26_公司财务报表数据预测汇总.jpg,data/figure/31/2024-04-25--酿酒行业-燕京啤酒-2024年一季报点评：改革逻辑不断兑现，单季利润创新高_page1_公司财务报表数据预测汇总.jpg,data/figure/31/2023-12-18--证券-招商证券-公司季报点评：投行业务稳健，前三季度归母净利润同比微增_page3_表2招商证券资产负债表百万元.jpg,data/figure/31/2023-11-22--塑料制品-斯迪克-公司动态研究报告：功能性复合材料领军企业，折叠屏+VR驱动业务快速成长_page2_公司盈利预测百万元.jpg,data/figure/31/2024-04-13--物流行业-密尔克卫-2023年年报及2024年一季报点评：行业波动影响全年业绩，24Q1实现显著提升_page1_公司财务报表数据预测汇总.jpg		根据预测，2025E年的EBITDA为多少百万元？	1,422	1,563	1,282	1,048	A
