index	image	information	round	question	answer
1	data/figure/L3Q3_4/图片1.jpg	张女士为 A 市甲超市财务管理人员，她从 2014 年 1 月份开始建立家庭消费电子账，6 月份从甲超市购买了下列商品：(1)粉底液一盒，支出400 元。(2)白酒 1000 克，支出 640 元。(3)食品支出 1010 元，其中：橄榄油 2500 克，支出 400 元；淀粉 1000 克，支出 10 元；新鲜蔬菜 50千克，支出 600 元。同时她对部分商品的供货渠道和价格进行了追溯，主要数据如图所示。	1	计算甲超市销售给张女士粉底液的增值税销项税额。	58.12
1	data/figure/L3Q3_4/图片1.jpg	张女士为 A 市甲超市财务管理人员，她从 2014 年 1 月份开始建立家庭消费电子账，6 月份从甲超市购买了下列商品：(1)粉底液一盒，支出400 元。(2)白酒 1000 克，支出 640 元。(3)食品支出 1010 元，其中：橄榄油 2500 克，支出 400 元；淀粉 1000 克，支出 10 元；新鲜蔬菜 50千克，支出 600 元。同时她对部分商品的供货渠道和价格进行了追溯，主要数据如图所示。	2	计算甲超市销售给张女士粉食品的增值税销项税额。	47.47
1	data/figure/L3Q3_4/图片1.jpg	张女士为 A 市甲超市财务管理人员，她从 2014 年 1 月份开始建立家庭消费电子账，6 月份从甲超市购买了下列商品：(1)粉底液一盒，支出400 元。(2)白酒 1000 克，支出 640 元。(3)食品支出 1010 元，其中：橄榄油 2500 克，支出 400 元；淀粉 1000 克，支出 10 元；新鲜蔬菜 50千克，支出 600 元。同时她对部分商品的供货渠道和价格进行了追溯，主要数据如图所示。	3	计算张女士购买粉底液支出中包含的消费税税额。	90
1	data/figure/L3Q3_4/图片1.jpg	张女士为 A 市甲超市财务管理人员，她从 2014 年 1 月份开始建立家庭消费电子账，6 月份从甲超市购买了下列商品：(1)粉底液一盒，支出400 元。(2)白酒 1000 克，支出 640 元。(3)食品支出 1010 元，其中：橄榄油 2500 克，支出 400 元；淀粉 1000 克，支出 10 元；新鲜蔬菜 50千克，支出 600 元。同时她对部分商品的供货渠道和价格进行了追溯，主要数据如图所示。	4	计算张女士购买白酒支出中包含的消费税税额。	105
2	data/figure/L3Q3_4/图片2.jpg	某高校赵教授 2014 年取得部分收入项目如下：(1)1 日从学校取得的收入包括基本工资 3200 元，教授津贴 6000 元，因公出差取得差旅费津贴420 元，按照所在省人民政府规定的比例提取并缴付的“五险一金”1455 元。(2)5 月 10 日因担任另一高校博士论文答辩取得答辩费5000 元，同日晚上为学校作一场学术报告取得收入 3000 元。(3)自 1月 1 日起将自有面积为 120 平方米的住房按市场价格出租给李某居住，每月租金 5500 元，租期为 1 年全年租金收入 66000 元。其中 7 月份因墙面开裂发生维修费用 3200 元，取得装修公司出具的正式发票。(4)7月取得国债利息收入 1850 元，一年期定期储蓄存款利息收入 375 元，某上市公司发行的企业债利息收入 1000 元。(5)8 月份因持有两年前购买的某上市公司股票 13000 股，取得该公司年中股票分红所得 2600 元。	1	计算赵教授 5 月 10 日取得的答辩费和作学术报告取得收入应缴纳的个人所得税。	1240
2	data/figure/L3Q3_4/图片2.jpg	某高校赵教授 2014 年取得部分收入项目如下：(1)1 日从学校取得的收入包括基本工资 3200 元，教授津贴 6000 元，因公出差取得差旅费津贴420 元，按照所在省人民政府规定的比例提取并缴付的“五险一金”1455 元。(2)5 月 10 日因担任另一高校博士论文答辩取得答辩费5000 元，同日晚上为学校作一场学术报告取得收入 3000 元。(3)自 1月 1 日起将自有面积为 120 平方米的住房按市场价格出租给李某居住，每月租金 5500 元，租期为 1 年全年租金收入 66000 元。其中 7 月份因墙面开裂发生维修费用 3200 元，取得装修公司出具的正式发票。(4)7月取得国债利息收入 1850 元，一年期定期储蓄存款利息收入 375 元，某上市公司发行的企业债利息收入 1000 元。(5)8 月份因持有两年前购买的某上市公司股票 13000 股，取得该公司年中股票分红所得 2600 元。	2	计算赵教授 7 月取得的租金收入应缴纳的个人所得税。（不考虑租金收入应缴纳的其他税收及附加）	376
2	data/figure/L3Q3_4/图片2.jpg	某高校赵教授 2014 年取得部分收入项目如下：(1)1 日从学校取得的收入包括基本工资 3200 元，教授津贴 6000 元，因公出差取得差旅费津贴420 元，按照所在省人民政府规定的比例提取并缴付的“五险一金”1455 元。(2)5 月 10 日因担任另一高校博士论文答辩取得答辩费5000 元，同日晚上为学校作一场学术报告取得收入 3000 元。(3)自 1月 1 日起将自有面积为 120 平方米的住房按市场价格出租给李某居住，每月租金 5500 元，租期为 1 年全年租金收入 66000 元。其中 7 月份因墙面开裂发生维修费用 3200 元，取得装修公司出具的正式发票。(4)7月取得国债利息收入 1850 元，一年期定期储蓄存款利息收入 375 元，某上市公司发行的企业债利息收入 1000 元。(5)8 月份因持有两年前购买的某上市公司股票 13000 股，取得该公司年中股票分红所得 2600 元。	3	计算赵教授 8 月份取得上市公司股票分红收入应缴纳的个人所得税。	130
3	data/figure/L3Q3_4/图片3.jpg	某上市公司高级工程师王先生，2022 年度取得个人收入项目如下：（1）扣除“三险一金”后的每月工资 9800 元，每月的专项附加扣除为 1000 元。（2）从 1 月 1 日起出租两居室住房用于居住，扣除相关税费后的每月租金所得 6000 元，全年共计 72000元。（3）2 月 8 日对 2020 年 1 月公司授予的股票期权 30000 股行权，每股施权价 8 元，行权当日该股票的收盘价位 15 元。（4）10 月 26 日通过拍卖市场拍卖祖传字画一幅，拍卖收入 56000 元，不能提供字画原值凭据。（5）11 月因实名举报某企业的污染行为获得当地环保部门奖励 20000 元，同时因其参与的一项技术发明获得国家科技进步二等奖，分得奖金 50000 元。	1	根据业务（1）计算 2022 年单位应预扣预缴王先生的个人所得税。	2040
3	data/figure/L3Q3_4/图片3.jpg	某上市公司高级工程师王先生，2022 年度取得个人收入项目如下：（1）扣除“三险一金”后的每月工资 9800 元，每月的专项附加扣除为 1000 元。（2）从 1 月 1 日起出租两居室住房用于居住，扣除相关税费后的每月租金所得 6000 元，全年共计 72000元。（3）2 月 8 日对 2020 年 1 月公司授予的股票期权 30000 股行权，每股施权价 8 元，行权当日该股票的收盘价位 15 元。（4）10 月 26 日通过拍卖市场拍卖祖传字画一幅，拍卖收入 56000 元，不能提供字画原值凭据。（5）11 月因实名举报某企业的污染行为获得当地环保部门奖励 20000 元，同时因其参与的一项技术发明获得国家科技进步二等奖，分得奖金 50000 元。	2	计算出租两居室住房取得的租金收入应缴纳的个人所得税	5760
3	data/figure/L3Q3_4/图片3.jpg	某上市公司高级工程师王先生，2022 年度取得个人收入项目如下：（1）扣除“三险一金”后的每月工资 9800 元，每月的专项附加扣除为 1000 元。（2）从 1 月 1 日起出租两居室住房用于居住，扣除相关税费后的每月租金所得 6000 元，全年共计 72000元。（3）2 月 8 日对 2020 年 1 月公司授予的股票期权 30000 股行权，每股施权价 8 元，行权当日该股票的收盘价位 15 元。（4）10 月 26 日通过拍卖市场拍卖祖传字画一幅，拍卖收入 56000 元，不能提供字画原值凭据。（5）11 月因实名举报某企业的污染行为获得当地环保部门奖励 20000 元，同时因其参与的一项技术发明获得国家科技进步二等奖，分得奖金 50000 元。	3	计算股票期权所得应缴纳的个人所得税	 25080
